feature_id,layer,cwe_id,rank,score,hist_dist,delta_mu,ks_stat,freq_unsafe,freq_safe,mean_mag,kept,prune_reason
6986,16,CWE-120,1,0.9277,0.4857,1.705,0.2571,0.7143,0.9224,6.0492,True,
1710,16,CWE-120,2,0.7815,0.3714,1.4324,0.3,0.5,0.1846,2.1148,True,
7839,16,CWE-120,3,0.7613,0.3429,1.446,0.2286,0.4286,0.4544,2.1523,True,
14376,16,CWE-120,4,0.5653,0.3429,0.9277,0.2857,0.4286,0.2728,1.5534,True,
17395,16,CWE-120,5,0.4897,0.3,0.8027,0.2429,0.3571,0.1251,1.1673,True,
9816,16,CWE-120,6,0.4819,0.2571,0.8618,0.1714,0.2857,0.2532,1.6896,True,
22720,16,CWE-120,7,0.4791,0.1429,0.9834,0.1429,0.1429,0.0512,1.1884,True,
29862,16,CWE-120,8,0.4654,0.2714,0.785,0.2143,0.2857,0.2788,1.8161,True,
28421,16,CWE-120,9,0.4624,0.1429,0.9417,0.1429,0.1429,0.0173,0.9417,True,
9287,16,CWE-120,10,0.4324,0.4286,0.5523,0.2,0.5,0.3715,2.3434,True,
26373,16,CWE-120,11,0.4224,0.2286,0.7632,0.1286,0.2857,0.1952,1.7898,True,
6426,16,CWE-120,12,0.3838,0.2143,0.6452,0.2,0.2143,0.0799,0.7709,True,
31664,16,CWE-120,13,0.3763,0.2143,0.6194,0.2143,0.2143,0.0543,0.649,True,
1334,16,CWE-120,14,0.3741,0.3286,0.5352,0.1429,0.6429,0.7091,2.9702,True,
22892,16,CWE-120,15,0.3565,0.2143,0.5699,0.2143,0.2143,0.0241,0.5699,True,
29799,16,CWE-120,16,0.3503,0.2143,0.5829,0.1571,0.0714,0.1937,0.363,True,
15955,16,CWE-120,17,0.3393,0.2,0.5483,0.2,0.2143,0.0294,0.5864,True,
5407,16,CWE-120,18,0.3355,0.3429,0.3886,0.2143,0.4286,0.52,1.6669,True,
30495,16,CWE-120,19,0.3339,0.1429,0.6204,0.1429,0.1429,0.0113,0.7117,True,
9465,16,CWE-120,20,0.3301,0.2429,0.5109,0.1429,0.2143,0.318,1.5428,True,
26334,16,CWE-120,21,0.3068,0.1,0.6169,0.1,0.1429,0.1809,0.9792,True,
23278,16,CWE-120,22,0.3041,0.0857,0.6316,0.0857,0.1429,0.1786,1.0527,True,
26274,16,CWE-120,23,0.2993,0.2143,0.4268,0.2143,0.1429,0.153,0.3277,True,
4533,16,CWE-120,24,0.2968,0.1429,0.5277,0.1429,0.1429,0.0121,0.5277,True,
21872,16,CWE-120,25,0.2931,0.0714,0.6256,0.0714,0.0714,0.0045,0.6256,True,
19741,16,CWE-120,26,0.2925,0.1143,0.5599,0.1143,0.0,0.0904,0.0,False,freq_unsafe=0.000<0.02
14435,16,CWE-120,27,0.2877,0.0714,0.612,0.0714,0.0714,0.0068,0.612,True,
17625,16,CWE-120,28,0.2876,0.1429,0.5048,0.1429,0.1429,0.009,0.5048,True,
27644,16,CWE-120,29,0.2822,0.1143,0.5342,0.1143,0.1429,0.1891,0.5719,True,
5640,16,CWE-120,30,0.2791,0.1857,0.4193,0.1857,0.2143,0.1002,0.7755,True,
1940,16,CWE-120,31,0.2694,0.0714,0.5663,0.0714,0.0,0.0399,0.0,False,freq_unsafe=0.000<0.02
6539,16,CWE-120,32,0.2673,0.0714,0.5612,0.0714,0.0714,0.003,0.5612,True,
6888,16,CWE-120,33,0.2643,0.0714,0.5535,0.0714,0.0714,0.003,0.5535,True,
10758,16,CWE-120,34,0.2611,0.1143,0.4813,0.1143,0.0,0.1198,0.0,False,freq_unsafe=0.000<0.02
9911,16,CWE-120,35,0.2589,0.1429,0.4329,0.1429,0.1429,0.0121,0.4329,True,
19743,16,CWE-120,36,0.2587,0.1429,0.4467,0.1143,0.2857,0.3971,0.659,True,
13526,16,CWE-120,37,0.2564,0.0714,0.5338,0.0714,0.0714,0.0008,0.5338,True,
10332,16,CWE-120,38,0.2536,0.1429,0.4268,0.1286,0.1429,0.0234,0.4704,True,
2917,16,CWE-120,39,0.2534,0.2571,0.3122,0.1286,0.3571,0.2954,1.1695,True,
5063,16,CWE-120,40,0.2519,0.0714,0.5226,0.0714,0.0714,0.0008,0.5226,True,
7384,16,CWE-120,41,0.2494,0.0714,0.5163,0.0714,0.0714,0.0143,0.5163,True,
14739,16,CWE-120,42,0.2475,0.1571,0.383,0.1571,0.1429,0.2336,0.345,True,
18510,16,CWE-120,43,0.243,0.0714,0.5003,0.0714,0.0714,0.0053,0.5003,True,
13366,16,CWE-120,44,0.2352,0.1429,0.3738,0.1429,0.1429,0.006,0.3738,True,
22987,16,CWE-120,45,0.232,0.0714,0.4729,0.0714,0.0714,0.0023,0.4729,True,
14283,16,CWE-120,46,0.2309,0.1429,0.3629,0.1429,0.1429,0.0181,0.3629,True,
21157,16,CWE-120,47,0.225,0.0714,0.4553,0.0714,0.0714,0.003,0.4553,True,
5053,16,CWE-120,48,0.2178,0.0714,0.4374,0.0714,0.0714,0.0,0.4374,True,
16890,16,CWE-120,49,0.2129,0.0714,0.425,0.0714,0.0714,0.0113,0.425,True,
4735,16,CWE-120,50,0.2109,0.1286,0.3344,0.1286,0.1429,0.0173,0.369,True,
7595,16,CWE-120,51,0.21,0.0714,0.4178,0.0714,0.0714,0.0143,0.4505,True,
8776,16,CWE-120,52,0.208,0.0714,0.4129,0.0714,0.0714,0.0075,0.4129,True,
30752,16,CWE-120,53,0.2069,0.1429,0.3101,0.1286,0.1429,0.0226,0.3645,True,
26704,16,CWE-120,54,0.2033,0.1286,0.3154,0.1286,0.1429,0.1944,0.3146,True,
26585,16,CWE-120,55,0.2029,0.0571,0.4214,0.0571,0.0,0.0339,0.0,False,freq_unsafe=0.000<0.02
12340,16,CWE-120,56,0.2025,0.0857,0.3777,0.0857,0.1429,0.1786,0.6294,True,
1218,16,CWE-120,57,0.2017,0.0714,0.3972,0.0714,0.0714,0.0121,0.4598,True,
14521,16,CWE-120,58,0.1983,0.1429,0.3172,0.0714,0.1429,0.0573,0.5221,True,
16033,16,CWE-120,59,0.1947,0.0714,0.3796,0.0714,0.0714,0.0294,0.4248,True,
16532,16,CWE-120,60,0.1923,0.0857,0.3523,0.0857,0.1429,0.1801,0.5871,True,
23681,16,CWE-120,61,0.1921,0.0857,0.3517,0.0857,0.1429,0.1778,0.5862,True,
28170,16,CWE-120,62,0.1897,0.0857,0.3458,0.0857,0.1429,0.1937,0.5763,True,
19880,16,CWE-120,63,0.1893,0.1286,0.2733,0.1429,0.0714,0.0814,0.1464,True,
24954,16,CWE-120,64,0.1882,0.0714,0.3633,0.0714,0.0714,0.0015,0.3633,True,
5570,16,CWE-120,65,0.1863,0.0857,0.3372,0.0857,0.1429,0.1786,0.5619,True,
917,16,CWE-120,66,0.1863,0.0714,0.3585,0.0714,0.0714,0.0098,0.4075,True,
497,16,CWE-120,67,0.1862,0.0714,0.3582,0.0714,0.0714,0.003,0.3582,True,
9416,16,CWE-120,68,0.1844,0.1,0.3109,0.1,0.1429,0.2065,0.4507,True,
6093,16,CWE-120,69,0.1814,0.3429,0.0106,0.2,0.4286,0.5471,2.0421,True,
5704,16,CWE-120,70,0.1795,0.0857,0.3203,0.0857,0.0,0.0558,0.0,False,freq_unsafe=0.000<0.02
22367,16,CWE-120,71,0.1795,0.1286,0.2774,0.0857,0.1429,0.0301,0.4977,True,
22111,16,CWE-120,72,0.1793,0.1286,0.2625,0.1143,0.1429,0.0203,0.3804,True,
19535,16,CWE-120,73,0.1788,0.1429,0.2398,0.1286,0.1429,0.0354,0.33,True,
22138,16,CWE-120,74,0.1768,0.1143,0.2705,0.1143,0.1429,0.2005,0.3023,True,
22023,16,CWE-120,75,0.1766,0.0714,0.3343,0.0714,0.0714,0.003,0.3343,True,
8185,16,CWE-120,76,0.1742,0.0714,0.3285,0.0714,0.0714,0.0015,0.3285,True,
947,16,CWE-120,77,0.1741,0.0714,0.328,0.0714,0.0714,0.0068,0.328,True,
25717,16,CWE-120,78,0.174,0.1571,0.2207,0.1143,0.2143,0.2924,0.6419,True,
1760,16,CWE-120,79,0.1728,0.0714,0.3248,0.0714,0.0714,0.0015,0.3248,True,
28644,16,CWE-120,80,0.1718,0.0857,0.301,0.0857,0.0,0.0723,0.0,False,freq_unsafe=0.000<0.02
24137,16,CWE-120,81,0.1711,0.0714,0.3206,0.0714,0.0714,0.0015,0.3206,True,
19458,16,CWE-120,82,0.1709,0.0714,0.32,0.0714,0.0714,0.0015,0.32,True,
15182,16,CWE-120,83,0.1705,0.0714,0.3192,0.0714,0.0714,0.0053,0.3192,True,
22094,16,CWE-120,84,0.1705,0.0714,0.3191,0.0714,0.0714,0.0,0.3191,True,
28091,16,CWE-120,85,0.1703,0.0714,0.3187,0.0714,0.0714,0.0083,0.352,True,
19401,16,CWE-120,86,0.1689,0.0714,0.3151,0.0714,0.0714,0.0008,0.3151,True,
30067,16,CWE-120,87,0.1675,0.0714,0.3116,0.0714,0.0714,0.0241,0.4393,True,
10118,16,CWE-120,88,0.1661,0.0714,0.3082,0.0714,0.0714,0.0015,0.3082,True,
19107,16,CWE-120,89,0.1659,0.0714,0.3076,0.0714,0.0714,0.0008,0.3076,True,
30690,16,CWE-120,90,0.1657,0.0714,0.3071,0.0714,0.0714,0.0136,0.3071,True,
3656,16,CWE-120,91,0.1653,0.0714,0.306,0.0714,0.0714,0.0068,0.306,True,
21030,16,CWE-120,92,0.1648,0.0714,0.3047,0.0714,0.0714,0.0053,0.3047,True,
22568,16,CWE-120,93,0.1646,0.0714,0.3044,0.0714,0.0714,0.0181,0.3762,True,
29240,16,CWE-120,94,0.1638,0.0714,0.3023,0.0714,0.0714,0.0045,0.3023,True,
17217,16,CWE-120,95,0.1635,0.0714,0.3015,0.0714,0.0714,0.0053,0.3015,True,
7698,16,CWE-120,96,0.1631,0.0714,0.3006,0.0714,0.0,0.0249,0.0,False,freq_unsafe=0.000<0.02
3203,16,CWE-120,97,0.1619,0.0714,0.2976,0.0714,0.0714,0.003,0.2976,True,
6975,16,CWE-120,98,0.1618,0.0714,0.2973,0.0714,0.0714,0.0075,0.3408,True,
