group_id,layer,cwe_id,group_type,n_features,repair_rate,corruption_rate,semantic_purity,avg_auc,source
L16_CWE-120_B,16,CWE-120,semantic,4,0.9645,0.0,1.0,0.6467,cyber_dev
L16_CWE-120_C,16,CWE-120,mixed_robust,5,0.9288,0.0,1.0,0.6265,cyber_dev
L16_CWE-120_A,16,CWE-120,statistical_fallback,5,0.9288,0.0,1.0,0.6265,cyber_dev
L16_CWE-327_B,16,CWE-327,semantic,2,0.9665,0.0,1.0,0.5902,cyber_dev
L16_CWE-327_C,16,CWE-327,mixed_robust,3,0.9777,0.0,0.6667,0.6316,cyber_dev
L16_CWE-327_A,16,CWE-327,statistical_fallback,3,0.9777,0.0,0.6667,0.6316,cyber_dev
L16_CWE-89_B,16,CWE-89,semantic,2,0.7855,0.0,1.0,0.6785,cyber_dev
L16_CWE-89_C,16,CWE-89,mixed_robust,2,1.0,0.0,0.5,0.7105,cyber_dev
L16_CWE-89_A,16,CWE-89,statistical_fallback,3,0.857,0.0,0.6667,0.6641,cyber_dev
L16_CWE-338_B,16,CWE-338,semantic,1,1.0,0.0,1.0,0.6,cyber_dev
L16_CWE-338_C,16,CWE-338,mixed_robust,1,1.0,0.0,1.0,0.6,cyber_dev
L16_CWE-338_A,16,CWE-338,statistical_fallback,1,1.0,0.0,1.0,0.6,cyber_dev
L16_CWE-79_C,16,CWE-79,mixed_robust,1,0.8,0.0,0.0,0.5459,cve_pairs
L16_CWE-79_A,16,CWE-79,statistical_fallback,4,0.6668,0.0,0.0,0.6633,cve_pairs
L16_CWE-125_C,16,CWE-125,mixed_robust,1,0.733,0.0,0.0,0.5714,cve_pairs
L16_CWE-125_A,16,CWE-125,statistical_fallback,1,0.733,0.0,0.0,0.5714,cve_pairs
L16_CWE-787_C,16,CWE-787,mixed_robust,2,0.8665,0.0,1.0,0.5182,cve_pairs
L16_CWE-787_A,16,CWE-787,statistical_fallback,3,0.7553,0.0,0.6667,0.5734,cve_pairs
L16_CWE-190_A,16,CWE-190,statistical_fallback,1,0.667,0.0,0.0,0.6352,cve_pairs
L16_CWE-476_C,16,CWE-476,mixed_robust,2,0.833,0.0,0.5,0.5392,cve_pairs
L16_CWE-476_A,16,CWE-476,statistical_fallback,4,0.7165,0.0,0.5,0.5584,cve_pairs
L19_CWE-120_B,19,CWE-120,semantic,1,1.0,0.0,1.0,0.6786,cyber_dev
L19_CWE-120_C,19,CWE-120,mixed_robust,4,0.893,0.0,0.25,0.6824,cyber_dev
L19_CWE-120_A,19,CWE-120,statistical_fallback,5,0.8286,0.0,0.2,0.6587,cyber_dev
L19_CWE-327_B,19,CWE-327,semantic,3,0.9777,0.0,1.0,0.5912,cyber_dev
