feature_id,layer,validated_cwe,primary_cwe,primary_auc,cwe_match,n_cross_cwes,assigned_tags,repair_rate,corrupt_rate
1710,16,CWE-120,CWE-120,0.6199,True,1,buffer_overflow|memory_unsafe|bounds_check,1.0,0.0
14376,16,CWE-120,CWE-120,0.7143,True,0,buffer_overflow|memory_unsafe|bounds_check,0.929,0.0
17395,16,CWE-120,CWE-120,0.6173,True,1,buffer_overflow|memory_unsafe|bounds_check,1.0,0.0
9816,16,CWE-120,CWE-120,0.5459,True,0,buffer_overflow|memory_unsafe|bounds_check,0.786,0.0
9287,16,CWE-120,CWE-120,0.6352,True,1,buffer_overflow|memory_unsafe|bounds_check,0.929,0.0
31902,16,CWE-327,CWE-327,0.5759,True,0,crypto_weak|insecure_algorithm|crypto_api,0.933,0.0
9465,16,CWE-327,CWE-327,0.6046,True,1,crypto_weak|insecure_algorithm|crypto_api,1.0,0.0
14376,16,CWE-327,CWE-120,0.7143,False,0,buffer_overflow|memory_unsafe|bounds_check,1.0,0.0
2917,16,CWE-89,CWE-89,0.7857,True,1,sql_injection|input_validation|string_format,1.0,0.0
28279,16,CWE-89,CWE-89,0.5714,True,0,sql_injection|input_validation|string_format,0.571,0.0
9287,16,CWE-89,CWE-120,0.6352,False,1,buffer_overflow|memory_unsafe|bounds_check,1.0,0.0
7384,16,CWE-338,CWE-338,0.6,True,0,prng_weak|crypto_random|predictable_seed,1.0,0.0
14376,16,CWE-79,CWE-120,0.7143,False,0,buffer_overflow|memory_unsafe|bounds_check,0.667,0.0
9816,16,CWE-79,CWE-120,0.5459,False,0,xss|input_validation|output_encoding,0.8,0.0
22892,16,CWE-79,CWE-120,0.6071,False,1,buffer_overflow|memory_unsafe|bounds_check,0.533,0.0
2917,16,CWE-79,CWE-89,0.7857,False,1,sql_injection|input_validation|string_format,0.667,0.0
6312,16,CWE-125,CWE-120,0.5714,False,0,buffer_overflow|memory_unsafe|bounds_check,0.733,0.0
6093,16,CWE-787,CWE-89,0.6837,False,1,sql_injection|input_validation|string_format,0.533,0.0
27215,16,CWE-787,CWE-787,0.5154,True,0,out_of_bounds_write|memory_unsafe|buffer_overflow,1.0,0.0
22288,16,CWE-787,CWE-787,0.5211,True,0,out_of_bounds_write|memory_unsafe|buffer_overflow,0.733,0.0
9287,16,CWE-190,CWE-120,0.6352,False,1,buffer_overflow|memory_unsafe|bounds_check,0.667,0.0
9287,16,CWE-476,CWE-120,0.6352,False,1,buffer_overflow|memory_unsafe|bounds_check,0.6,0.0
22670,16,CWE-476,CWE-89,0.5714,False,0,sql_injection|input_validation|string_format,0.733,0.0
32249,16,CWE-476,CWE-476,0.5199,True,0,null_dereference|pointer_check|memory_unsafe,0.6,0.0
2256,16,CWE-476,CWE-476,0.5069,True,0,null_dereference|pointer_check|memory_unsafe,0.933,0.0
16897,19,CWE-120,CWE-327,0.5638,False,0,crypto_weak|insecure_algorithm|crypto_api,0.571,0.0
151,19,CWE-120,CWE-89,0.6735,False,1,sql_injection|input_validation|string_format,0.929,0.0
19738,19,CWE-120,CWE-89,0.6939,False,0,sql_injection|input_validation|string_format,0.786,0.0
11462,19,CWE-120,CWE-89,0.6837,False,1,sql_injection|input_validation|string_format,0.857,0.0
14193,19,CWE-120,CWE-120,0.6786,True,1,buffer_overflow|memory_unsafe|bounds_check,1.0,0.0
16897,19,CWE-327,CWE-327,0.5638,True,0,crypto_weak|insecure_algorithm|crypto_api,1.0,0.0
2068,19,CWE-327,CWE-327,0.6473,True,2,crypto_weak|insecure_algorithm|crypto_api,0.933,0.0
151,19,CWE-327,CWE-89,0.6735,False,1,sql_injection|input_validation|string_format,0.933,0.0
1913,19,CWE-327,CWE-338,0.58,False,3,prng_weak|crypto_random|predictable_seed,1.0,0.0
12068,19,CWE-327,CWE-327,0.5625,True,0,crypto_weak|insecure_algorithm|crypto_api,1.0,0.0
11462,19,CWE-89,CWE-89,0.6837,True,1,sql_injection|input_validation|string_format,1.0,0.0
151,19,CWE-89,CWE-89,0.6735,True,1,sql_injection|input_validation|string_format,1.0,0.0
19738,19,CWE-89,CWE-89,0.6939,True,0,sql_injection|input_validation|string_format,0.714,0.0
555,19,CWE-89,CWE-89,0.5714,True,0,sql_injection|input_validation|string_format,0.571,0.0
16897,19,CWE-338,CWE-327,0.5638,False,0,crypto_weak|insecure_algorithm|crypto_api,0.6,0.0
151,19,CWE-338,CWE-89,0.6735,False,1,sql_injection|input_validation|string_format,1.0,0.0
2068,19,CWE-338,CWE-327,0.6473,False,2,crypto_weak|insecure_algorithm|crypto_api,0.8,0.0
19738,19,CWE-338,CWE-89,0.6939,False,0,sql_injection|input_validation|string_format,0.8,0.0
16897,19,CWE-79,CWE-327,0.5638,False,0,crypto_weak|insecure_algorithm|crypto_api,0.667,0.0
10988,19,CWE-79,CWE-89,0.5918,False,0,sql_injection|input_validation|string_format,0.933,0.0
11462,19,CWE-79,CWE-89,0.6837,False,1,sql_injection|input_validation|string_format,0.867,0.0
6273,19,CWE-125,CWE-120,0.6429,False,0,buffer_overflow|memory_unsafe|bounds_check,0.667,0.0
1515,19,CWE-787,CWE-125,0.5081,False,0,out_of_bounds_write|memory_unsafe|buffer_overflow,1.0,0.0
6273,19,CWE-787,CWE-120,0.6429,False,0,buffer_overflow|memory_unsafe|bounds_check,0.6,0.0
16897,19,CWE-190,CWE-327,0.5638,False,0,crypto_weak|insecure_algorithm|crypto_api,0.6,0.0
6273,19,CWE-476,CWE-120,0.6429,False,0,buffer_overflow|memory_unsafe|bounds_check,0.667,0.0
15898,19,CWE-476,CWE-476,0.5137,True,0,null_dereference|pointer_check|memory_unsafe,0.6,0.0
7779,23,CWE-120,CWE-338,0.6,False,1,prng_weak|crypto_random|predictable_seed,1.0,0.0
14449,23,CWE-120,CWE-327,0.6722,False,0,crypto_weak|insecure_algorithm|crypto_api,0.857,0.0
14449,23,CWE-327,CWE-327,0.6722,True,0,crypto_weak|insecure_algorithm|crypto_api,0.933,0.0
1652,23,CWE-89,CWE-89,0.7143,True,0,sql_injection|input_validation|string_format,0.857,0.0
4657,23,CWE-89,CWE-89,0.6429,True,0,sql_injection|input_validation|string_format,1.0,0.0
22548,23,CWE-89,CWE-89,0.5714,True,0,sql_injection|input_validation|string_format,1.0,0.0
7533,23,CWE-338,CWE-338,0.8,True,0,prng_weak|crypto_random|predictable_seed,1.0,0.0
18869,23,CWE-79,CWE-190,0.5061,False,0,xss|input_validation|output_encoding,0.8,0.0
18465,23,CWE-79,CWE-125,0.5338,False,0,xss|input_validation|output_encoding,0.533,0.0
24712,23,CWE-79,CWE-327,0.5293,False,0,xss|input_validation|output_encoding,0.933,0.0
18465,23,CWE-125,CWE-125,0.5338,True,0,out_of_bounds_read|memory_unsafe|bounds_check,0.6,0.0
16655,23,CWE-125,CWE-125,0.5278,True,0,out_of_bounds_read|memory_unsafe|bounds_check,0.867,0.0
26322,23,CWE-125,CWE-89,0.5918,False,1,sql_injection|input_validation|string_format,0.533,0.0
24712,23,CWE-787,CWE-327,0.5293,False,0,out_of_bounds_write|memory_unsafe|buffer_overflow,0.667,0.0
1652,23,CWE-787,CWE-89,0.7143,False,0,sql_injection|input_validation|string_format,0.533,0.0
18076,23,CWE-190,CWE-120,0.6378,False,0,buffer_overflow|memory_unsafe|bounds_check,0.867,0.0
24712,23,CWE-190,CWE-327,0.5293,False,0,integer_overflow|arithmetic_error|type_check,0.8,0.0
15524,23,CWE-190,CWE-190,0.5238,True,0,integer_overflow|arithmetic_error|type_check,1.0,0.0
24712,23,CWE-476,CWE-327,0.5293,False,0,null_dereference|pointer_check|memory_unsafe,0.6,0.0
23479,23,CWE-476,CWE-120,0.5714,False,1,buffer_overflow|memory_unsafe|bounds_check,0.6,0.0
18397,23,CWE-476,CWE-476,0.5139,True,0,null_dereference|pointer_check|memory_unsafe,0.933,0.0
