group_id,layer,cwe_id,group_type,n_features,repair_rate,corruption_rate,semantic_purity,auc_val,repair_proxy,jaccard,rank_corr,auc_ok,deployable,source,n_unsafe
L16_CWE-120_B,16,CWE-120,semantic,4,0.9645,0.0,1.0,0.6196,0.3571,0.7132,0.6298,True,True,cyber_dev,14
L16_CWE-120_C,16,CWE-120,mixed_robust,5,0.9288,0.0,1.0,0.6094,0.3429,0.7074,0.5074,True,True,cyber_dev,14
L16_CWE-120_A,16,CWE-120,statistical_fallback,5,0.9288,0.0,1.0,0.6094,0.3429,0.6968,0.5074,True,True,cyber_dev,14
L16_CWE-327_B,16,CWE-327,semantic,2,0.9665,0.0,1.0,0.5643,0.25,0.5579,0.1158,False,False,cyber_dev,28
L16_CWE-327_C,16,CWE-327,mixed_robust,3,0.9777,0.0,0.6667,0.5307,0.2024,0.814,0.55,False,False,cyber_dev,28
L16_CWE-327_A,16,CWE-327,statistical_fallback,3,0.9777,0.0,0.6667,0.5307,0.2024,0.814,0.55,False,False,cyber_dev,28
L16_CWE-89_B,16,CWE-89,semantic,2,0.7855,0.0,1.0,0.6235,0.2857,0.8105,0.6211,True,True,cyber_dev,7
L16_CWE-89_C,16,CWE-89,mixed_robust,2,1.0,0.0,0.5,0.6235,0.3571,0.7316,0.4632,True,False,cyber_dev,7
L16_CWE-89_A,16,CWE-89,statistical_fallback,3,0.857,0.0,0.6667,0.6061,0.2857,0.6596,0.4079,True,False,cyber_dev,7
L16_CWE-338_B,16,CWE-338,semantic,1,1.0,0.0,1.0,0.56,0.2,1.0,0.5,False,False,cyber_dev,5
L16_CWE-338_C,16,CWE-338,mixed_robust,1,1.0,0.0,1.0,0.56,0.2,1.0,0.5,False,False,cyber_dev,5
L16_CWE-338_A,16,CWE-338,statistical_fallback,1,1.0,0.0,1.0,0.56,0.2,1.0,0.5,False,False,cyber_dev,5
L16_CWE-79_C,16,CWE-79,mixed_robust,1,0.8,0.0,0.0,0.5261,0.2405,1.0,0.5,True,True,cve_pairs,79
L16_CWE-79_A,16,CWE-79,statistical_fallback,4,0.6668,0.0,0.0,0.4901,0.1677,0.7658,0.5547,True,True,cve_pairs,79
L16_CWE-125_C,16,CWE-125,mixed_robust,1,0.733,0.0,0.0,0.5181,0.2237,1.0,0.5,True,True,cve_pairs,76
L16_CWE-125_A,16,CWE-125,statistical_fallback,1,0.733,0.0,0.0,0.5181,0.2237,1.0,0.5,True,True,cve_pairs,76
L16_CWE-787_C,16,CWE-787,mixed_robust,2,0.8665,0.0,1.0,0.5182,0.1154,0.5211,0.0421,True,False,cve_pairs,65
L16_CWE-787_A,16,CWE-787,statistical_fallback,3,0.7553,0.0,0.6667,0.5182,0.1487,0.5333,-0.0211,True,False,cve_pairs,65
L16_CWE-190_A,16,CWE-190,statistical_fallback,1,0.667,0.0,0.0,0.5167,0.1647,1.0,0.5,True,True,cve_pairs,85
L16_CWE-476_C,16,CWE-476,mixed_robust,2,0.833,0.0,0.5,0.5135,0.04,0.6053,0.2105,True,False,cve_pairs,75
L16_CWE-476_A,16,CWE-476,statistical_fallback,4,0.7165,0.0,0.5,0.5141,0.1,0.6474,0.0558,True,False,cve_pairs,75
L19_CWE-120_B,19,CWE-120,semantic,1,1.0,0.0,1.0,0.6597,0.3571,1.0,0.5,True,True,cyber_dev,14
L19_CWE-120_C,19,CWE-120,mixed_robust,4,0.893,0.0,0.25,0.513,0.1786,0.9026,0.7937,False,False,cyber_dev,14
L19_CWE-120_A,19,CWE-120,statistical_fallback,5,0.8286,0.0,0.2,0.4948,0.1857,0.8126,0.7011,False,False,cyber_dev,14
L19_CWE-327_B,19,CWE-327,semantic,3,0.9777,0.0,1.0,0.5702,0.2619,0.6386,0.1553,False,False,cyber_dev,28
L19_CWE-327_C,19,CWE-327,mixed_robust,5,0.9732,0.0,0.6,0.567,0.2786,0.7516,0.2084,False,False,cyber_dev,28
L19_CWE-327_A,19,CWE-327,statistical_fallback,5,0.9732,0.0,0.6,0.567,0.2786,0.7516,0.2084,False,False,cyber_dev,28
L19_CWE-89_B,19,CWE-89,semantic,4,0.8213,0.0,1.0,0.6143,0.2857,0.6711,0.1258,True,False,cyber_dev,7
L19_CWE-89_C,19,CWE-89,mixed_robust,3,0.9047,0.0,1.0,0.6286,0.3333,0.6526,0.2877,True,False,cyber_dev,7
L19_CWE-89_A,19,CWE-89,statistical_fallback,4,0.8213,0.0,1.0,0.6143,0.2857,0.6711,0.1258,True,False,cyber_dev,7
L19_CWE-338_C,19,CWE-338,mixed_robust,3,0.8667,0.0,0.0,0.472,0.1333,0.7053,0.3935,False,False,cyber_dev,5
L19_CWE-338_A,19,CWE-338,statistical_fallback,4,0.8,0.0,0.0,0.484,0.1,0.6737,0.2586,False,False,cyber_dev,5
L19_CWE-79_C,19,CWE-79,mixed_robust,2,0.9,0.0,0.0,0.4801,0.0949,0.5579,0.1158,True,False,cve_pairs,79
L19_CWE-79_A,19,CWE-79,statistical_fallback,3,0.8223,0.0,0.0,0.4731,0.1055,0.6772,0.3263,True,False,cve_pairs,79
L19_CWE-125_A,19,CWE-125,statistical_fallback,1,0.667,0.0,0.0,0.5206,0.1842,1.0,0.5,True,True,cve_pairs,76
L19_CWE-787_C,19,CWE-787,mixed_robust,1,1.0,0.0,0.0,0.4866,0.1231,1.0,0.5,True,True,cve_pairs,65
L19_CWE-787_A,19,CWE-787,statistical_fallback,2,0.8,0.0,0.0,0.5052,0.1154,0.7316,0.4632,True,False,cve_pairs,65
L19_CWE-190_A,19,CWE-190,statistical_fallback,1,0.6,0.0,0.0,0.4632,0.0706,1.0,0.5,True,True,cve_pairs,85
L19_CWE-476_A,19,CWE-476,statistical_fallback,2,0.6335,0.0,0.5,0.52,0.14,0.5211,0.0421,True,False,cve_pairs,75
L23_CWE-120_C,23,CWE-120,mixed_robust,2,0.9285,0.0,0.0,0.5628,0.25,0.4737,-0.0526,False,False,cyber_dev,14
L23_CWE-120_A,23,CWE-120,statistical_fallback,2,0.9285,0.0,0.0,0.5628,0.25,0.4737,-0.0526,False,False,cyber_dev,14
L23_CWE-327_B,23,CWE-327,semantic,1,0.933,0.0,1.0,0.6156,0.3929,1.0,0.5,True,True,cyber_dev,28
L23_CWE-327_C,23,CWE-327,mixed_robust,1,0.933,0.0,1.0,0.6156,0.3929,1.0,0.5,True,True,cyber_dev,28
L23_CWE-327_A,23,CWE-327,statistical_fallback,1,0.933,0.0,1.0,0.6156,0.3929,1.0,0.5,True,True,cyber_dev,28
