feature_id,layer,cwe_id,score,hist_dist,delta_mu,ks_stat,freq_unsafe,freq_safe,kept,source
6986,16,CWE-120,0.9277,0.4857,1.705,0.2571,0.7143,0.9224,True,cyber_dev
1710,16,CWE-120,0.7815,0.3714,1.4324,0.3,0.5,0.1846,True,cyber_dev
7839,16,CWE-120,0.7613,0.3429,1.446,0.2286,0.4286,0.4544,True,cyber_dev
14376,16,CWE-120,0.5653,0.3429,0.9277,0.2857,0.4286,0.2728,True,cyber_dev
17395,16,CWE-120,0.4897,0.3,0.8027,0.2429,0.3571,0.1251,True,cyber_dev
9816,16,CWE-120,0.4819,0.2571,0.8618,0.1714,0.2857,0.2532,True,cyber_dev
22720,16,CWE-120,0.4791,0.1429,0.9834,0.1429,0.1429,0.0512,True,cyber_dev
29862,16,CWE-120,0.4654,0.2714,0.785,0.2143,0.2857,0.2788,True,cyber_dev
28421,16,CWE-120,0.4624,0.1429,0.9417,0.1429,0.1429,0.0173,True,cyber_dev
9287,16,CWE-120,0.4324,0.4286,0.5523,0.2,0.5,0.3715,True,cyber_dev
26373,16,CWE-120,0.4224,0.2286,0.7632,0.1286,0.2857,0.1952,True,cyber_dev
6426,16,CWE-120,0.3838,0.2143,0.6452,0.2,0.2143,0.0799,True,cyber_dev
31664,16,CWE-120,0.3763,0.2143,0.6194,0.2143,0.2143,0.0543,True,cyber_dev
1334,16,CWE-120,0.3741,0.3286,0.5352,0.1429,0.6429,0.7091,True,cyber_dev
22892,16,CWE-120,0.3565,0.2143,0.5699,0.2143,0.2143,0.0241,True,cyber_dev
29799,16,CWE-120,0.3503,0.2143,0.5829,0.1571,0.0714,0.1937,True,cyber_dev
15955,16,CWE-120,0.3393,0.2,0.5483,0.2,0.2143,0.0294,True,cyber_dev
5407,16,CWE-120,0.3355,0.3429,0.3886,0.2143,0.4286,0.52,True,cyber_dev
30495,16,CWE-120,0.3339,0.1429,0.6204,0.1429,0.1429,0.0113,True,cyber_dev
9465,16,CWE-120,0.3301,0.2429,0.5109,0.1429,0.2143,0.318,True,cyber_dev
26334,16,CWE-120,0.3068,0.1,0.6169,0.1,0.1429,0.1809,True,cyber_dev
23278,16,CWE-120,0.3041,0.0857,0.6316,0.0857,0.1429,0.1786,True,cyber_dev
26274,16,CWE-120,0.2993,0.2143,0.4268,0.2143,0.1429,0.153,True,cyber_dev
4533,16,CWE-120,0.2968,0.1429,0.5277,0.1429,0.1429,0.0121,True,cyber_dev
21872,16,CWE-120,0.2931,0.0714,0.6256,0.0714,0.0714,0.0045,True,cyber_dev
19741,16,CWE-120,0.2925,0.1143,0.5599,0.1143,0.0,0.0904,False,cyber_dev
14435,16,CWE-120,0.2877,0.0714,0.612,0.0714,0.0714,0.0068,True,cyber_dev
17625,16,CWE-120,0.2876,0.1429,0.5048,0.1429,0.1429,0.009,True,cyber_dev
27644,16,CWE-120,0.2822,0.1143,0.5342,0.1143,0.1429,0.1891,True,cyber_dev
5640,16,CWE-120,0.2791,0.1857,0.4193,0.1857,0.2143,0.1002,True,cyber_dev
1940,16,CWE-120,0.2694,0.0714,0.5663,0.0714,0.0,0.0399,False,cyber_dev
6539,16,CWE-120,0.2673,0.0714,0.5612,0.0714,0.0714,0.003,True,cyber_dev
6888,16,CWE-120,0.2643,0.0714,0.5535,0.0714,0.0714,0.003,True,cyber_dev
10758,16,CWE-120,0.2611,0.1143,0.4813,0.1143,0.0,0.1198,False,cyber_dev
9911,16,CWE-120,0.2589,0.1429,0.4329,0.1429,0.1429,0.0121,True,cyber_dev
19743,16,CWE-120,0.2587,0.1429,0.4467,0.1143,0.2857,0.3971,True,cyber_dev
13526,16,CWE-120,0.2564,0.0714,0.5338,0.0714,0.0714,0.0008,True,cyber_dev
10332,16,CWE-120,0.2536,0.1429,0.4268,0.1286,0.1429,0.0234,True,cyber_dev
2917,16,CWE-120,0.2534,0.2571,0.3122,0.1286,0.3571,0.2954,True,cyber_dev
5063,16,CWE-120,0.2519,0.0714,0.5226,0.0714,0.0714,0.0008,True,cyber_dev
7384,16,CWE-120,0.2494,0.0714,0.5163,0.0714,0.0714,0.0143,True,cyber_dev
14739,16,CWE-120,0.2475,0.1571,0.383,0.1571,0.1429,0.2336,True,cyber_dev
18510,16,CWE-120,0.243,0.0714,0.5003,0.0714,0.0714,0.0053,True,cyber_dev
13366,16,CWE-120,0.2352,0.1429,0.3738,0.1429,0.1429,0.006,True,cyber_dev
22987,16,CWE-120,0.232,0.0714,0.4729,0.0714,0.0714,0.0023,True,cyber_dev
14283,16,CWE-120,0.2309,0.1429,0.3629,0.1429,0.1429,0.0181,True,cyber_dev
21157,16,CWE-120,0.225,0.0714,0.4553,0.0714,0.0714,0.003,True,cyber_dev
5053,16,CWE-120,0.2178,0.0714,0.4374,0.0714,0.0714,0.0,True,cyber_dev
16890,16,CWE-120,0.2129,0.0714,0.425,0.0714,0.0714,0.0113,True,cyber_dev
