layer,cwe_id,n_input,n_kept,n_pruned,source
16,CWE-120,200,107,93,cyber_dev
16,CWE-327,200,54,146,cyber_dev
16,CWE-89,200,153,47,cyber_dev
16,CWE-338,200,87,113,cyber_dev
16,CWE-79,200,36,164,cve_pairs
16,CWE-125,200,72,128,cve_pairs
16,CWE-787,200,34,166,cve_pairs
16,CWE-190,200,51,149,cve_pairs
16,CWE-476,200,42,158,cve_pairs
19,CWE-120,200,95,105,cyber_dev
19,CWE-327,200,54,146,cyber_dev
19,CWE-89,200,145,55,cyber_dev
19,CWE-338,200,73,127,cyber_dev
19,CWE-79,200,47,153,cve_pairs
19,CWE-125,200,56,144,cve_pairs
19,CWE-787,200,29,171,cve_pairs
19,CWE-190,200,54,146,cve_pairs
19,CWE-476,200,38,162,cve_pairs
23,CWE-120,200,83,117,cyber_dev
23,CWE-327,200,41,159,cyber_dev
23,CWE-89,200,130,70,cyber_dev
23,CWE-338,200,66,134,cyber_dev
23,CWE-79,200,29,171,cve_pairs
23,CWE-125,200,41,159,cve_pairs
23,CWE-787,200,27,173,cve_pairs
23,CWE-190,200,39,161,cve_pairs
23,CWE-476,200,32,168,cve_pairs
