layer,cwe_id,n_candidates,top1_feat,top1_score,top1_hist,top1_dmu,top1_ks
16,CWE-120,200,6986,0.9277,0.4857,1.705,0.2571
16,CWE-327,200,6986,0.8625,0.3143,1.7421,0.2
16,CWE-89,200,6986,2.0573,0.7143,4.2005,0.4571
16,CWE-338,200,6986,3.4882,0.72,7.6404,0.72
16,CWE-79,200,14376,0.1312,0.0759,0.2205,0.0633
16,CWE-125,200,3791,0.1802,0.1053,0.2991,0.0921
16,CWE-787,200,6986,0.1759,0.0923,0.3168,0.0615
16,CWE-190,200,6986,0.3266,0.1059,0.6753,0.0706
16,CWE-476,200,9342,0.1774,0.0667,0.3435,0.0667
19,CWE-120,200,16897,1.1837,0.5857,2.2094,0.3286
19,CWE-327,200,16897,0.7755,0.3571,1.478,0.2071
19,CWE-89,200,23042,1.3728,0.8,2.2463,0.7714
19,CWE-338,200,16897,1.3355,0.76,2.3988,0.36
19,CWE-79,200,16897,0.4428,0.1266,0.9362,0.0886
19,CWE-125,200,15849,0.132,0.0658,0.2312,0.0658
19,CWE-787,200,16897,0.2379,0.1077,0.464,0.0462
19,CWE-190,200,16897,0.485,0.1529,1.0066,0.1059
19,CWE-476,200,6273,0.1695,0.1067,0.2636,0.1067
23,CWE-120,200,14909,0.6382,0.3429,1.1597,0.1857
23,CWE-327,200,4837,0.7307,0.3143,1.4268,0.1714
23,CWE-89,200,1652,0.7777,0.5429,1.2299,0.3429
23,CWE-338,200,14909,1.211,0.44,2.4676,0.24
23,CWE-79,200,4837,0.4829,0.1139,1.0552,0.0759
23,CWE-125,200,14909,0.1539,0.0921,0.2597,0.0658
23,CWE-787,200,4837,0.2451,0.0923,0.4973,0.0462
23,CWE-190,200,4837,0.7003,0.1529,1.539,0.1176
23,CWE-476,200,4837,0.2392,0.1067,0.4647,0.0533
