split,source_order,pair_id,cve_id,cwe_id,language,source,is_augmented,seed_cve_id,role,vulnerable_code_sha256,fixed_code_sha256,code_pair_sha256
train,0,382ed97c3fa255af70a35478fbb8adbe,CVE-2018-14359,CWE-120,C,cvefixes,False,CVE-2018-14359,derivation,73db2d327d5948f09e7ef0fa2d7355f74adf55faf76a812f02b126e73e3d511a,73db2d327d5948f09e7ef0fa2d7355f74adf55faf76a812f02b126e73e3d511a,f9b2881e1673d91c9511e59c69da385a0e737c543fd382eeb4729a510f7b32c7
train,1,faf273014e3787a87a91e534f4f1049d,CVE-2022-29210,CWE-120,Python,cvefixes,False,CVE-2022-29210,derivation,4b7e2e0234db2c41a56b1c848979955b323161e08e2e1c67a2ad4a0d75571149,4b7e2e0234db2c41a56b1c848979955b323161e08e2e1c67a2ad4a0d75571149,a529c0d277f8c582510743738c74cf6599d3a67f815799043c35a639a69c58d3
train,2,6256cf309977eb548d6d2242a4208711,CVE-2022-26490,CWE-120,C,cvefixes,False,CVE-2022-26490,derivation,3959b5036abe253ee11d094efa34bc1cd28f8372dc6bd9617d82ff52dd6a0ef0,3959b5036abe253ee11d094efa34bc1cd28f8372dc6bd9617d82ff52dd6a0ef0,464dde6efaeef04b222acdc6479a9c08954cf82116325612735abc6f8a5bb32a
train,3,b7a96ade6ff09c84c3a7ffff4fb0b2e6,CVE-2020-5209,CWE-120,C,cvefixes,False,CVE-2020-5209,derivation,0f352de85623e4933c914edd82cb47569d9942b3d59934417baac3c001ef9a3d,0f352de85623e4933c914edd82cb47569d9942b3d59934417baac3c001ef9a3d,2586820c4dc9d8820c5d020a6578af4da337f6f8a1ce42d47e35882ee743fc61
train,4,53f8e26b176df51f93eb453218a0c223,CVE-2020-8955,CWE-120,C,cvefixes,False,CVE-2020-8955,derivation,a242a1b57a46981792370d208af7d2e941bfb77dc762c6f83ac0641c1db04504,a242a1b57a46981792370d208af7d2e941bfb77dc762c6f83ac0641c1db04504,dfd4cfb1522ca3b1f7d8ffe2d39c2a00e0e23fc46817e5dbe590230ca84a07cb
train,5,08d39c31369f4c189c7bb883bd1b8efd,CVE-2020-11068,CWE-120,C++,cvefixes,False,CVE-2020-11068,derivation,59ac799e4c30b8187c8fd106753a45f52e0fb5938ddc662a263f5fe120729819,59ac799e4c30b8187c8fd106753a45f52e0fb5938ddc662a263f5fe120729819,9b412502f829795112bce7d96c38609b9c0dae553993055920dcafcbe0e9e4db
train,6,17e1ad9a57823ba9a0d087748343cde6,CVE-2022-24754,CWE-120,C,cvefixes,False,CVE-2022-24754,derivation,7e76e1b6bf9717456d5a55f8488a07fcfa54b5ae50e932ccd1ae8b1382fd4276,7e76e1b6bf9717456d5a55f8488a07fcfa54b5ae50e932ccd1ae8b1382fd4276,1fe786179c9d8805a37d6591f57402245c787efa6db41d45e7c2d58d4a24b354
train,7,9f01c58f60f72ffb80259883d382a33f,CVE-2010-3844,CWE-120,C,cvefixes,False,CVE-2010-3844,derivation,44ddb454b81d06fc78999feaf533de1dd8e75f342b907059b88277b26b92cd40,44ddb454b81d06fc78999feaf533de1dd8e75f342b907059b88277b26b92cd40,c0b690d2c660d61ebcade670f9b01fa7938b88b4994859dca7ac7d68951e1977
train,8,8e9206796e4e4f320748adc19cb7c84b,CVE-2018-14359,CWE-120,C,cvefixes,False,CVE-2018-14359,derivation,cf300109e4f03a970ffe36c8594119218b2a98764086d9a310006913027c8443,cf300109e4f03a970ffe36c8594119218b2a98764086d9a310006913027c8443,ac9e85d0519374ed98560dde3aa4fc72409d15035c28bf02627d201f154049fa
train,9,49bde82b83b1c49c79bf2e495866e1d3,CVE-2021-40818,CWE-120,C,cvefixes,False,CVE-2021-40818,derivation,ec0a3a7b420eed97a721391a28351a76e00403507f9e3bad58ee36713f621c92,ec0a3a7b420eed97a721391a28351a76e00403507f9e3bad58ee36713f621c92,bb906918ccf42efdddfecd1de02b1d4ba74e6f3c5234c4baa04a185d4a73e90d
