method,seed,information_tier,disposition,cwe_id,cwe_type,b0_vulnerable_denominator,estimability,repair_count,corrvrr,corrected_vulnerable_count,current_target_finding_count,b0_safe_source_cwe_denominator,corruption_count,corruption_rate,source_population_count,validity_count,validity_rate,strict_empty_count,whitespace_only_count,scanner_skipped_count,generation_failure_count
B0,42,NO_INTERVENTION_BASELINE,REUSED,CWE-120,DERIVATION,14,ESTIMABLE,0,0.000000,14,14,37,0,0.000000,48,48,1.000000,0,0,0,0
B0,42,NO_INTERVENTION_BASELINE,REUSED,CWE-327,DERIVATION,12,ESTIMABLE,0,0.000000,12,12,19,0,0.000000,34,34,1.000000,0,0,14,0
B0,42,NO_INTERVENTION_BASELINE,REUSED,CWE-89,DERIVATION,2,EXPLORATORY_DESCRIPTIVE_N_LT_5,0,0.000000,2,2,8,0,0.000000,16,16,1.000000,0,0,6,0
B0,42,NO_INTERVENTION_BASELINE,REUSED,CWE-338,EXPLORATORY,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,2,41,0,0.000000,52,52,1.000000,0,0,11,0
B0,42,NO_INTERVENTION_BASELINE,REUSED,CWE-79,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,5,0,0.000000,5,5,1.000000,0,0,0,0
B0,42,NO_INTERVENTION_BASELINE,REUSED,CWE-125,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B0,42,NO_INTERVENTION_BASELINE,REUSED,CWE-787,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B0,42,NO_INTERVENTION_BASELINE,REUSED,CWE-190,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B0,42,NO_INTERVENTION_BASELINE,REUSED,CWE-476,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B0,42,NO_INTERVENTION_BASELINE,REUSED,CWE-22,HELDOUT,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,9,0,0.000000,10,10,1.000000,0,0,1,0
B0,42,NO_INTERVENTION_BASELINE,REUSED,CWE-290,HELDOUT,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,12,12,1.000000,0,0,12,0
B0,43,NO_INTERVENTION_BASELINE,NEW,CWE-120,DERIVATION,12,ESTIMABLE,0,0.000000,12,12,39,0,0.000000,48,48,1.000000,0,0,0,0
B0,43,NO_INTERVENTION_BASELINE,NEW,CWE-327,DERIVATION,15,ESTIMABLE,0,0.000000,15,15,18,0,0.000000,34,34,1.000000,0,0,14,0
B0,43,NO_INTERVENTION_BASELINE,NEW,CWE-89,DERIVATION,2,EXPLORATORY_DESCRIPTIVE_N_LT_5,0,0.000000,2,2,8,0,0.000000,16,16,1.000000,0,0,6,0
B0,43,NO_INTERVENTION_BASELINE,NEW,CWE-338,EXPLORATORY,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,2,41,0,0.000000,52,52,1.000000,0,0,11,0
B0,43,NO_INTERVENTION_BASELINE,NEW,CWE-79,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,5,0,0.000000,5,5,1.000000,0,0,0,0
B0,43,NO_INTERVENTION_BASELINE,NEW,CWE-125,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B0,43,NO_INTERVENTION_BASELINE,NEW,CWE-787,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B0,43,NO_INTERVENTION_BASELINE,NEW,CWE-190,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B0,43,NO_INTERVENTION_BASELINE,NEW,CWE-476,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B0,43,NO_INTERVENTION_BASELINE,NEW,CWE-22,HELDOUT,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,9,0,0.000000,10,10,1.000000,0,0,1,0
