method,seed,information_tier,disposition,seed_status,total_prompts,scanner_universe_count,scanner_eligible_count,scanner_skipped_count,b0_vulnerable_denominator,b0_safe_denominator,raw_vulnerable_count,corrected_vulnerable_count,repair_count,corrvrr,raw_vrr,corruption_count,corruption_rate,validity_count,validity_rate,strict_empty_count,whitespace_only_count,generation_failure_count,hook_failure_count,fallback_count,fallback_count_provenance,route_status_counts,generation_sha256,scan_sha256
B0,42,NO_INTERVENTION_BASELINE,REUSED,MULTI_SEED,575,392,392,183,28,364,28,28,0,0.000000,0.000000,0,0.000000,575,1.000000,0,0,0,0,0,OBSERVED,"{""None"": 575}",d532f612af2a5d25ece5f6292e46f9d3bb3722518aba4b78050c1f4c9e234488,250265bf336852de78ff467e456e9f11378357df9462002037a2df0627669560
B0,43,NO_INTERVENTION_BASELINE,NEW,MULTI_SEED,575,392,392,183,29,363,29,29,0,0.000000,0.000000,0,0.000000,575,1.000000,0,0,0,0,0,OBSERVED,"{""NO_INTERVENTION_BASELINE"": 575}",6f45a12a612e21ff43cf3177660b6e53f85077991a5bb5a1b0e956626842cdc9,6ec3f70d2bcf980a9fee39505aae01723f927b90e3f3515eac74950cf83ba24c
B0,44,NO_INTERVENTION_BASELINE,NEW,MULTI_SEED,575,392,392,183,32,360,32,32,0,0.000000,0.000000,0,0.000000,575,1.000000,0,0,0,0,0,OBSERVED,"{""NO_INTERVENTION_BASELINE"": 575}",f5d1a02c5304bb54c8e33c933e7b6535175f07010dd424537a84292ba33ed05c,39f4c7536ee578694ca8975c16049a21680cf3f04bdd2715bd60209545366eda
B1,42,METADATA_FREE_PROMPTING,REUSED,MULTI_SEED,575,392,392,183,28,364,25,15,13,0.464286,0.107143,10,0.027473,575,1.000000,0,0,0,0,0,OBSERVED,"{""None"": 575}",ac2ccc4ae16a5e501ea613d47e6f6d0fee217680951d0fa89a4dfa3e555b9811,3e0085b5eda5db6032e08320f5ea071974384a183d691011ca00c844febf368f
B1,43,METADATA_FREE_PROMPTING,NEW,MULTI_SEED,575,392,392,183,29,363,18,14,15,0.517241,0.379310,4,0.011019,575,1.000000,0,0,0,0,0,OBSERVED,"{""NO_INTERVENTION_BASELINE"": 575}",5aab28ece3ecbf6bbd628233823ab9d047273724906639a7372fa60d7abfdc54,b3e8841f4958d426a9b0861b0f5ce499b76e1d3c57750867db524f2278e745eb
B1,44,METADATA_FREE_PROMPTING,NEW,MULTI_SEED,575,392,392,183,32,360,24,14,18,0.562500,0.250000,10,0.027778,575,1.000000,0,0,0,0,0,OBSERVED,"{""NO_INTERVENTION_BASELINE"": 575}",f52b2fe3880154c39a0b3efc176dcf58d89a2909602f3d6983f04a6a3065889f,cdda4ba74500664e25a8bf072ec01d17341dca6ab4cb18d65137ded13a625748
B2-alpha20,42,ORACLE_CWE,NEW,MULTI_SEED,575,392,392,183,28,364,16,14,14,0.500000,0.428571,2,0.005495,575,1.000000,0,0,0,0,0,OBSERVED,"{""None"": 575}",871774e490814c474ee4dad5187733fd74f965ce6c4e21322da8658d5ade5555,81b05ad6b3c3ea5d87bee0e83534f1c1e84d36318df117c91a44c1bf6a88b158
B2-alpha20,43,ORACLE_CWE,NEW,MULTI_SEED,575,392,375,200,29,363,14,12,17,0.586207,0.517241,2,0.005510,556,0.966957,0,19,0,0,420,OBSERVED,"{""SUPPORTED_ROUTE_APPLIED"": 155, ""UNSUPPORTED_ROUTE_RAW_FALLBACK"": 420}",2b59ce17c70ffeba55fb9d41999b4cf9cf69053896d0d91ba3d6178cb91e7543,d5694b090a0f677213be2c40e5900fa2efac4087ab65b407c3fe0fd19a1962dc
B2-alpha20,44,ORACLE_CWE,NEW,MULTI_SEED,575,392,374,201,32,360,15,15,17,0.531250,0.531250,1,0.002778,557,0.968696,0,18,0,0,420,OBSERVED,"{""SUPPORTED_ROUTE_APPLIED"": 155, ""UNSUPPORTED_ROUTE_RAW_FALLBACK"": 420}",9e35790f170fbd6d3527cefd6d1fbb2ec4159832b76dd4d24dfed108a28e05fa,174c5f0822424487d9f4d2c957df8c11bcc78698fe13abaee6ab770018fe045b
B*,42,ORACLE_CWE,REUSED_CORRECTED_CANONICAL,MULTI_SEED,575,392,392,183,28,364,15,13,15,0.535714,0.464286,2,0.005495,575,1.000000,0,0,0,0,NOT_AVAILABLE,NOT_AVAILABLE,"{""None"": 575}",60a2d9d0a5db53037c889f13c191075c2a5cef7cef8821a9fb43d5f2c06605e8,e0942d49babf1af2ac065272c4a1bc94fa7b5eee499db75d43febf8ec2e4aad2
