method,repetition,prompt_records,batch_size,total_wall_seconds,mean_latency_seconds,median_latency_seconds,min_latency_seconds,max_latency_seconds,failure_count,fallback_count
B0,1,50,1,1762.5908457995392,35.25181691599079,40.43420055008028,6.0539228999987245,42.42953349999152,0,0
B0,2,50,1,1701.3844431997277,34.027688863994555,38.74129489995539,6.011600599857047,43.652149100089446,0,0
B0,3,50,1,1722.020876299357,34.440417525987144,39.38578874990344,6.403945499798283,40.772314300062135,0,0
B0,ALL,150,1,5185.996165298624,34.57330776865749,39.35895060002804,6.011600599857047,43.652149100089446,0,0
B1,1,50,1,1862.0077091997955,37.24015418399591,37.147836700081825,34.81162069994025,39.30005709989928,0,0
B1,2,50,1,1866.0567157994956,37.32113431598991,37.41351539990865,35.00531099992804,38.342795699834824,0,0
B1,3,50,1,1838.3018690003082,36.76603738000617,36.742927749990486,33.77171069988981,38.33831020002253,0,0
B1,ALL,150,1,5566.366293999599,37.109108626663996,37.14300490007736,33.77171069988981,39.30005709989928,0,0
B*,1,50,1,1874.4931936999783,37.48986387399957,37.446494549978524,35.97134599997662,40.697612800169736,0,0
B*,2,50,1,1867.4247575991321,37.34849515198264,37.39134584995918,35.895676400046796,38.47717440011911,0,0
B*,3,50,1,1824.1256988008972,36.48251397601794,36.38476865005214,35.870526700047776,37.542059200117365,0,0
B*,ALL,150,1,5566.043650100008,37.10695766733338,37.05612095003016,35.870526700047776,40.697612800169736,0,0
B3-ungated,1,50,1,1889.7871837008279,37.795743674016556,37.74834275001194,36.92047389992513,39.47381190001033,0,0
B3-ungated,2,50,1,1876.1850452991202,37.5237009059824,37.507207050104626,36.217987099895254,38.559339199913666,0,0
B3-ungated,3,50,1,1877.9822155993897,37.559644311987796,37.476579100009985,36.794685899978504,38.67854070011526,0,0
B3-ungated,ALL,150,1,5643.954444599338,37.62636296399558,37.5868996999925,36.217987099895254,39.47381190001033,0,0
B3-PG,1,50,1,9565.43110749987,191.3086221499974,205.05741600005422,32.53738470003009,242.16510859993286,0,0
B3-PG,2,50,1,9546.477317600744,190.92954635201488,202.81700159993488,32.59748430014588,242.15743659995496,0,0
B3-PG,3,50,1,9502.340593100293,190.04681186200585,202.5101074000122,31.655155799817294,241.417293000035,0,0
B3-PG,ALL,150,1,28614.249018200906,190.76166012133936,203.49988755001687,31.655155799817294,242.16510859993286,0,0
B1-CWE,1,50,1,1957.2789386992808,39.14557877398562,39.37301385006867,36.851418799953535,40.384282500017434,0,50
B1-CWE,2,50,1,1907.9769683994818,38.15953936798964,38.26709550002124,35.70937129994854,40.08828329993412,0,50
B1-CWE,3,50,1,1884.6278372001834,37.69255674400367,37.237735750037245,35.119372699875385,40.0157747999765,0,50
B1-CWE,ALL,150,1,5749.883744298946,38.33255829532631,38.42721234995406,35.119372699875385,40.384282500017434,0,150
RCI-1,1,50,1,5258.159120700089,105.16318241400178,117.99232634995133,38.72227729996666,120.56136490008794,13,0
RCI-1,2,50,1,5243.987603599206,104.87975207198411,117.87673514988273,36.99456699984148,120.38534949999303,13,0
RCI-1,3,50,1,5186.312587900786,103.72625175801572,116.72978200006764,36.40107150003314,119.62715039984323,13,0
RCI-1,ALL,150,1,15688.45931220008,104.58972874800054,117.53252150001936,36.40107150003314,120.56136490008794,39,0
CAA-CWE,1,50,1,1734.5421003988013,34.69084200797602,39.96705215005204,6.171224699821323,42.161961200181395,0,0
CAA-CWE,2,50,1,1737.1272597024217,34.74254519404843,39.97720554983243,6.014969400130212,41.08967690030113,0,0
CAA-CWE,3,50,1,1742.198657299392,34.84397314598784,40.05318225012161,6.28610200015828,41.199724700301886,0,0
CAA-CWE,ALL,150,1,5213.868017400615,34.7591201160041,40.007879350101575,6.014969400130212,42.161961200181395,0,0
