method,repetition,input_tokens,generated_tokens,model_calls,mean_model_calls_per_prompt,generated_tokens_per_second
B0,1,4145,22219,50,1.0,12.605875069049906
B0,2,4145,22219,50,1.0,13.059364736057884
B0,3,4145,22219,50,1.0,12.902863319374438
B0,ALL,12435,66657,150,1.0,12.853268277756566
B1,1,5495,25565,50,1.0,13.72980351997933
B1,2,5495,25565,50,1.0,13.700012321997887
B1,3,5495,25565,50,1.0,13.906856339053046
B1,ALL,16485,76695,150,1.0,13.77828837507069
B*,1,4145,25600,50,1.0,13.65702478197283
B*,2,4145,25600,50,1.0,13.708718327646476
B*,3,4145,25600,50,1.0,14.034120574491304
B*,ALL,12435,76800,150,1.0,13.797951440538936
B3-ungated,1,4145,25600,50,1.0,13.546498897228597
B3-ungated,2,4145,25600,50,1.0,13.644709547249692
B3-ungated,3,4145,25600,50,1.0,13.631651986560122
B3-ungated,ALL,12435,76800,150,1.0,13.6074804915354
B3-PG,1,4145,23844,71532,1430.64,2.4927261230604523
B3-PG,2,4145,23844,71532,1430.64,2.4976752373400664
B3-PG,3,4145,23844,71532,1430.64,2.5092765057604094
B3-PG,ALL,12435,71532,214596,1430.64,2.4998734006438554
B1-CWE,1,5495,25565,50,1.0,13.061500583554709
B1-CWE,2,5495,25565,50,1.0,13.399008700532352
B1-CWE,3,5495,25565,50,1.0,13.565012410078557
B1-CWE,ALL,16485,76695,150,1.0,13.338530553081823
RCI-1,1,41988,68453,134,2.68,13.018434480333097
RCI-1,2,41988,68453,134,2.68,13.053615907294928
RCI-1,3,41988,68453,134,2.68,13.198780220015058
RCI-1,ALL,125964,205359,402,2.68,13.089813085744069
CAA-CWE,1,4145,22177,50,1.0,12.785506904041778
CAA-CWE,2,4145,22177,50,1.0,12.766479759116224
CAA-CWE,3,4145,22177,50,1.0,12.729317582173378
CAA-CWE,ALL,12435,66531,150,1.0,12.760392050194085
