benchmark,condition,route_cwe_id,layer,feature,alpha,task_count,metric,success_count,score,scientific_role
HumanEval,B0,,,,,164,pass@1,19,0.115854,REFERENCE
BigCodeBench,B0,,,,,150,AST syntax-pass proxy,146,0.973333,REFERENCE
MMLU,B0,,,,,412,accuracy,241,0.584951,REFERENCE
HumanEval,B*_SINGLE_ROUTE_ACTIVE,CWE-120,19,14193,40,164,pass@1,0,0.000000,ACTIVE_COORDINATE_SENSITIVITY
BigCodeBench,B*_SINGLE_ROUTE_ACTIVE,CWE-120,19,14193,40,150,AST syntax-pass proxy,0,0.000000,ACTIVE_COORDINATE_SENSITIVITY
MMLU,B*_SINGLE_ROUTE_ACTIVE,CWE-120,19,14193,40,412,accuracy,0,0.000000,ACTIVE_COORDINATE_SENSITIVITY
HumanEval,B*_SINGLE_ROUTE_ACTIVE,CWE-125,23,16655,40,164,pass@1,6,0.036585,ACTIVE_COORDINATE_SENSITIVITY
BigCodeBench,B*_SINGLE_ROUTE_ACTIVE,CWE-125,23,16655,40,150,AST syntax-pass proxy,0,0.000000,ACTIVE_COORDINATE_SENSITIVITY
MMLU,B*_SINGLE_ROUTE_ACTIVE,CWE-125,23,16655,40,412,accuracy,139,0.337379,ACTIVE_COORDINATE_SENSITIVITY
HumanEval,B*_SINGLE_ROUTE_ACTIVE,CWE-190,19,16897,40,164,pass@1,0,0.000000,ACTIVE_COORDINATE_SENSITIVITY
BigCodeBench,B*_SINGLE_ROUTE_ACTIVE,CWE-190,19,16897,40,150,AST syntax-pass proxy,0,0.000000,ACTIVE_COORDINATE_SENSITIVITY
MMLU,B*_SINGLE_ROUTE_ACTIVE,CWE-190,19,16897,40,412,accuracy,191,0.463592,ACTIVE_COORDINATE_SENSITIVITY
HumanEval,B*_SINGLE_ROUTE_ACTIVE,CWE-327,23,14449,40,164,pass@1,2,0.012195,ACTIVE_COORDINATE_SENSITIVITY
BigCodeBench,B*_SINGLE_ROUTE_ACTIVE,CWE-327,23,14449,40,150,AST syntax-pass proxy,13,0.086667,ACTIVE_COORDINATE_SENSITIVITY
MMLU,B*_SINGLE_ROUTE_ACTIVE,CWE-327,23,14449,40,412,accuracy,237,0.575243,ACTIVE_COORDINATE_SENSITIVITY
HumanEval,B*_SINGLE_ROUTE_ACTIVE,CWE-338,23,7533,40,164,pass@1,1,0.006098,ACTIVE_COORDINATE_SENSITIVITY
BigCodeBench,B*_SINGLE_ROUTE_ACTIVE,CWE-338,23,7533,40,150,AST syntax-pass proxy,7,0.046667,ACTIVE_COORDINATE_SENSITIVITY
MMLU,B*_SINGLE_ROUTE_ACTIVE,CWE-338,23,7533,40,412,accuracy,119,0.288835,ACTIVE_COORDINATE_SENSITIVITY
HumanEval,B*_SINGLE_ROUTE_ACTIVE,CWE-476,23,18397,40,164,pass@1,1,0.006098,ACTIVE_COORDINATE_SENSITIVITY
BigCodeBench,B*_SINGLE_ROUTE_ACTIVE,CWE-476,23,18397,40,150,AST syntax-pass proxy,28,0.186667,ACTIVE_COORDINATE_SENSITIVITY
MMLU,B*_SINGLE_ROUTE_ACTIVE,CWE-476,23,18397,40,412,accuracy,211,0.512136,ACTIVE_COORDINATE_SENSITIVITY
HumanEval,B*_SINGLE_ROUTE_ACTIVE,CWE-787,19,1515,40,164,pass@1,0,0.000000,ACTIVE_COORDINATE_SENSITIVITY
BigCodeBench,B*_SINGLE_ROUTE_ACTIVE,CWE-787,19,1515,40,150,AST syntax-pass proxy,0,0.000000,ACTIVE_COORDINATE_SENSITIVITY
MMLU,B*_SINGLE_ROUTE_ACTIVE,CWE-787,19,1515,40,412,accuracy,0,0.000000,ACTIVE_COORDINATE_SENSITIVITY
HumanEval,B*_SINGLE_ROUTE_ACTIVE,CWE-79,16,9816,40,164,pass@1,0,0.000000,ACTIVE_COORDINATE_SENSITIVITY
BigCodeBench,B*_SINGLE_ROUTE_ACTIVE,CWE-79,16,9816,40,150,AST syntax-pass proxy,2,0.013333,ACTIVE_COORDINATE_SENSITIVITY
MMLU,B*_SINGLE_ROUTE_ACTIVE,CWE-79,16,9816,40,412,accuracy,14,0.033981,ACTIVE_COORDINATE_SENSITIVITY
HumanEval,B*_SINGLE_ROUTE_ACTIVE,CWE-89,23,1652,40,164,pass@1,2,0.012195,ACTIVE_COORDINATE_SENSITIVITY
BigCodeBench,B*_SINGLE_ROUTE_ACTIVE,CWE-89,23,1652,40,150,AST syntax-pass proxy,125,0.833333,ACTIVE_COORDINATE_SENSITIVITY
MMLU,B*_SINGLE_ROUTE_ACTIVE,CWE-89,23,1652,40,412,accuracy,151,0.366505,ACTIVE_COORDINATE_SENSITIVITY
