layer,source,n_samples,mean_rel_l2,median_rel_l2,max_rel_l2,avg_sparsity_active,viable
12,cve_vuln,512,0.665099,0.658438,0.947172,0.00085,False
12,cve_fixed,512,0.666696,0.659825,0.947172,0.000837,False
12,cyber_dev,1341,0.716489,0.678542,0.947172,0.000728,False
16,cve_vuln,512,0.586651,0.576972,0.795767,0.000938,True
16,cve_fixed,512,0.588377,0.580713,0.795767,0.000916,True
16,cyber_dev,1341,0.640954,0.616718,0.841648,0.001004,True
19,cve_vuln,512,0.589991,0.574874,0.842255,0.000842,True
19,cve_fixed,512,0.588867,0.576407,0.842255,0.00083,True
19,cyber_dev,1341,0.617299,0.579095,0.86642,0.000876,True
23,cve_vuln,512,0.618041,0.610513,0.93587,0.000704,True
23,cve_fixed,512,0.613768,0.60812,0.8931,0.000704,True
23,cyber_dev,1341,0.596651,0.566105,0.917183,0.000796,True
