layer,feature_id,appears_in_target_cwes,target_cwe,original_statistical_rank,repair_count,qualified_unsafe_n,repair_rate,safe_corruption_count,corruption_rate,unsafe_invalid_count,invalid_rate,validation_status
9,3104,CWE-120;CWE-89,CWE-120,4,1,14,0.07142857142857142,0,0.0,0,0.0,VALIDATED
9,3104,CWE-120;CWE-89,CWE-89,12,0,10,0.0,0,0.0,0,0.0,NOT_VALIDATED_NO_REPAIR
9,10260,CWE-327;CWE-89,CWE-327,3,1,15,0.06666666666666667,0,0.0,0,0.0,VALIDATED
9,10260,CWE-327;CWE-89,CWE-89,11,0,10,0.0,0,0.0,0,0.0,NOT_VALIDATED_NO_REPAIR
9,12223,CWE-120;CWE-327;CWE-89,CWE-120,10,1,14,0.07142857142857142,0,0.0,0,0.0,VALIDATED
9,12223,CWE-120;CWE-327;CWE-89,CWE-327,4,1,15,0.06666666666666667,0,0.0,0,0.0,VALIDATED
9,12223,CWE-120;CWE-327;CWE-89,CWE-89,7,0,10,0.0,0,0.0,0,0.0,NOT_VALIDATED_NO_REPAIR
9,14965,CWE-327;CWE-89,CWE-327,2,2,15,0.13333333333333333,0,0.0,0,0.0,VALIDATED
9,14965,CWE-327;CWE-89,CWE-89,4,0,10,0.0,0,0.0,0,0.0,NOT_VALIDATED_NO_REPAIR
9,15071,CWE-327;CWE-89,CWE-327,7,2,15,0.13333333333333333,0,0.0,0,0.0,VALIDATED
9,15071,CWE-327;CWE-89,CWE-89,8,1,10,0.1,0,0.0,0,0.0,VALIDATED
9,15457,CWE-120;CWE-327;CWE-89,CWE-120,7,1,14,0.07142857142857142,0,0.0,0,0.0,VALIDATED
9,15457,CWE-120;CWE-327;CWE-89,CWE-327,1,1,15,0.06666666666666667,0,0.0,0,0.0,VALIDATED
9,15457,CWE-120;CWE-327;CWE-89,CWE-89,1,0,10,0.0,0,0.0,0,0.0,NOT_VALIDATED_NO_REPAIR
9,15892,CWE-120;CWE-327;CWE-89,CWE-120,3,1,14,0.07142857142857142,0,0.0,0,0.0,VALIDATED
9,15892,CWE-120;CWE-327;CWE-89,CWE-327,6,2,15,0.13333333333333333,0,0.0,0,0.0,VALIDATED
9,15892,CWE-120;CWE-327;CWE-89,CWE-89,5,0,10,0.0,0,0.0,0,0.0,NOT_VALIDATED_NO_REPAIR
20,529,CWE-327;CWE-89,CWE-327,6,3,15,0.2,0,0.0,0,0.0,VALIDATED
20,529,CWE-327;CWE-89,CWE-89,7,3,10,0.3,0,0.0,0,0.0,VALIDATED
20,599,CWE-120;CWE-327;CWE-89,CWE-120,3,4,14,0.2857142857142857,0,0.0,0,0.0,VALIDATED
20,599,CWE-120;CWE-327;CWE-89,CWE-327,4,0,15,0.0,0,0.0,0,0.0,NOT_VALIDATED_NO_REPAIR
