target_cwe,layer,feature_id,original_statistical_rank,statistical_score,qualified_unsafe_n,repair_count,repair_rate,target_cwe_remaining_count,unsafe_invalid_count,invalid_rate,safe_n,safe_corruption_count,corruption_rate,safe_invalid_count,scanner_failure_count,off_target_or_new_finding_prompt_count,validation_status,failed_gates
CWE-120,9,1378,1,2.8177313804626465,14,1,0.07142857142857142,13,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,9,3392,2,2.2142882347106934,14,2,0.14285714285714285,12,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,9,15892,3,1.9485925436019897,14,1,0.07142857142857142,13,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,9,3104,4,1.774560809135437,14,1,0.07142857142857142,13,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,9,15490,5,1.7223602533340454,14,2,0.14285714285714285,12,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,9,15457,7,1.4829919338226318,14,1,0.07142857142857142,13,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,9,8791,8,1.2757315635681152,14,2,0.14285714285714285,12,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,9,13298,9,0.9961609244346619,14,2,0.14285714285714285,12,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,9,12223,10,0.9718055725097656,14,1,0.07142857142857142,13,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,9,1442,12,0.8675019145011902,14,2,0.14285714285714285,12,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,20,12001,1,7.226792812347412,14,4,0.2857142857142857,10,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,20,599,3,5.422764301300049,14,4,0.2857142857142857,10,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,20,2131,4,4.990530014038086,14,4,0.2857142857142857,10,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,20,14471,5,2.5954809188842773,14,5,0.35714285714285715,9,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,20,5117,6,2.5787572860717773,14,4,0.2857142857142857,10,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,20,12002,7,2.481456995010376,14,4,0.2857142857142857,10,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,20,13950,8,2.058452844619751,14,5,0.35714285714285715,9,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,20,4142,10,1.9803022146224976,14,5,0.35714285714285715,9,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,20,12260,11,1.892762303352356,14,5,0.35714285714285715,9,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,20,8984,12,1.8350764513015747,14,4,0.2857142857142857,10,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,31,3508,1,10.84460163116455,14,4,0.2857142857142857,10,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,31,15981,2,10.634199142456055,14,5,0.35714285714285715,9,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,31,7845,3,7.186032772064209,14,4,0.2857142857142857,10,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,31,12710,4,5.413234710693359,14,4,0.2857142857142857,10,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,31,6796,6,4.2070536613464355,14,3,0.21428571428571427,11,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,31,5488,7,3.781853437423706,14,5,0.35714285714285715,9,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,31,220,8,3.5617408752441406,14,5,0.35714285714285715,9,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,31,374,9,3.3470542430877686,14,4,0.2857142857142857,10,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,31,14073,10,3.100602865219116,14,4,0.2857142857142857,10,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-120,31,6156,11,3.0499348640441895,14,4,0.2857142857142857,10,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-327,9,15457,1,2.5538218021392822,15,1,0.06666666666666667,14,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-327,9,14965,2,2.3926444053649902,15,2,0.13333333333333333,13,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-327,9,10260,3,2.093618154525757,15,1,0.06666666666666667,14,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-327,9,12223,4,1.862975001335144,15,1,0.06666666666666667,14,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-327,9,15811,5,1.6558970212936401,15,1,0.06666666666666667,14,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-327,9,15892,6,1.5035109519958496,15,2,0.13333333333333333,13,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-327,9,15071,7,1.406476378440857,15,2,0.13333333333333333,13,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-327,9,7146,8,1.376577615737915,15,1,0.06666666666666667,14,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-327,9,12039,9,1.3177837133407593,15,1,0.06666666666666667,14,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-327,9,5268,12,1.2496081590652466,15,2,0.13333333333333333,13,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-327,20,4650,2,4.3353047370910645,15,0,0.0,15,0,0.0,5,0,0.0,0,0,0,NOT_VALIDATED_NO_REPAIR,NO_REPAIR
CWE-327,20,14471,3,4.069729804992676,15,1,0.06666666666666667,14,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-327,20,599,4,4.052297115325928,15,0,0.0,15,0,0.0,5,0,0.0,0,0,0,NOT_VALIDATED_NO_REPAIR,NO_REPAIR
CWE-327,20,13200,5,3.2982912063598633,15,1,0.06666666666666667,14,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-327,20,529,6,3.1057655811309814,15,3,0.2,12,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-327,20,7527,8,2.55686354637146,15,2,0.13333333333333333,13,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-327,20,7967,9,2.5053224563598633,15,2,0.13333333333333333,13,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-327,20,13742,10,2.4601259231567383,15,2,0.13333333333333333,13,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-327,20,13873,12,2.3689610958099365,15,2,0.13333333333333333,13,0,0.0,5,0,0.0,0,0,0,VALIDATED,
