alpha,record_index,prompt_id,source_field_read,source_cwe,expected_layer,actual_layer,expected_feature,actual_feature,expected_alpha,actual_alpha,intervention_applied,route_status
20,0,1009,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,1,310,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,2,1079,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,3,133,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,4,1097,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,5,1688,population_record.cwe_identifier,CWE-89,20,20,12328,12328,20,20,True,VERIFIED
20,6,297,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,7,105,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,8,153,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,9,296,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,10,387,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,11,137,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,12,123,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,13,233,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,14,1007,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,15,1077,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,16,1183,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,17,1163,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,18,264,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,19,42,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,20,1841,population_record.cwe_identifier,CWE-89,20,20,12328,12328,20,20,True,VERIFIED
20,21,132,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,22,402,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,23,1800,population_record.cwe_identifier,CWE-89,20,20,12328,12328,20,20,True,VERIFIED
20,24,253,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,25,18,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,26,151,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,27,342,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,28,45,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,29,60,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,30,1181,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,31,86,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,32,27,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,33,1814,population_record.cwe_identifier,CWE-89,20,20,12328,12328,20,20,True,VERIFIED
20,34,1748,population_record.cwe_identifier,CWE-89,20,20,12328,12328,20,20,True,VERIFIED
20,35,422,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,36,5,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,37,1162,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,38,265,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
