target_cwe,layer,feature_id,statistical_rank,screening_alpha,qualified_unsafe_n,repair_count,repair_rate,qualified_safe_n,corruption_count,corruption_rate,unsafe_invalid_count,invalid_rate,validated
CWE-120,7,10865,1,16.687145233154297,13,0,0.0,5,0,0.0,0,0.0,False
CWE-120,7,101694,2,1.839993953704834,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,7,73328,3,2.265719175338745,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,7,82591,4,4.083287239074707,13,0,0.0,5,0,0.0,0,0.0,False
CWE-120,7,116251,5,1.963538408279419,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,7,685,6,1.8258428573608398,13,0,0.0,5,0,0.0,0,0.0,False
CWE-120,7,70827,7,6.448273658752441,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,7,33426,8,1.6336020231246948,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,7,15325,9,1.9242613315582275,13,0,0.0,5,0,0.0,0,0.0,False
CWE-120,7,116952,10,2.3380157947540283,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,15,40868,1,3.688389301300049,13,0,0.0,5,0,0.0,0,0.0,False
CWE-120,15,22604,2,11.068862915039062,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,15,15524,3,19.329051971435547,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,15,36058,4,5.739227294921875,13,0,0.0,5,0,0.0,0,0.0,False
CWE-120,15,29355,5,3.844501256942749,13,0,0.0,5,0,0.0,0,0.0,False
CWE-120,15,115727,6,3.718222141265869,13,3,0.23076923076923078,5,0,0.0,0,0.0,True
CWE-120,15,23946,7,3.219275951385498,13,0,0.0,5,0,0.0,0,0.0,False
CWE-120,15,92450,8,3.9570531845092773,13,0,0.0,5,0,0.0,0,0.0,False
CWE-120,15,47723,9,5.798767566680908,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,15,62088,10,5.006107330322266,13,0,0.0,5,0,0.0,0,0.0,False
CWE-120,23,34,1,9.3860445022583,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,23,20540,2,39.48664474487305,13,0,0.0,5,0,0.0,0,0.0,False
CWE-120,23,70085,3,30.659788131713867,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,23,130526,4,17.957616806030273,13,0,0.0,5,0,0.0,0,0.0,False
CWE-120,23,24002,5,70.8768539428711,13,2,0.15384615384615385,5,0,0.0,0,0.0,True
CWE-120,23,13660,6,12.567288398742676,13,0,0.0,5,0,0.0,0,0.0,False
CWE-120,23,90160,7,8.726639747619629,13,0,0.0,5,0,0.0,0,0.0,False
CWE-120,23,86386,8,15.27588939666748,13,0,0.0,5,0,0.0,0,0.0,False
CWE-120,23,111213,9,18.27557945251465,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,23,84760,10,11.58505630493164,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-327,7,84974,1,2.161546230316162,6,0,0.0,5,0,0.0,0,0.0,False
CWE-327,7,82591,2,4.083287239074707,6,0,0.0,5,0,0.0,0,0.0,False
CWE-327,7,56672,3,1.6022751331329346,6,0,0.0,5,0,0.0,0,0.0,False
CWE-327,7,70827,4,6.448273658752441,6,0,0.0,5,0,0.0,0,0.0,False
CWE-327,7,40648,6,9.022672653198242,6,0,0.0,5,0,0.0,0,0.0,False
CWE-327,7,107528,7,2.7058818340301514,6,0,0.0,5,0,0.0,0,0.0,False
CWE-327,7,90125,8,3.2990753650665283,6,0,0.0,5,0,0.0,0,0.0,False
