target_cwe,layer,feature_id,statistical_rank,screening_alpha,strength_multiplier,calibration_alpha,source,qualified_unsafe_n,repair_count,repair_rate,qualified_safe_n,corruption_count,corruption_rate,unsafe_invalid_count,invalid_rate,admissible
CWE-120,7,101694,2,1.839993953704834,0.5,0.919996976852417,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,7,101694,2,1.839993953704834,1.0,1.839993953704834,REUSED_IMMUTABLE_STAGE22E,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,7,101694,2,1.839993953704834,1.5,2.759990930557251,NEW_STAGE22F_GENERATION_AND_SCAN,13,0,0.0,5,0,0.0,0,0.0,False
CWE-120,7,101694,2,1.839993953704834,2.0,3.679987907409668,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,7,73328,3,2.265719175338745,0.5,1.1328595876693726,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,7,73328,3,2.265719175338745,1.0,2.265719175338745,REUSED_IMMUTABLE_STAGE22E,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,7,73328,3,2.265719175338745,1.5,3.3985787630081177,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,7,73328,3,2.265719175338745,2.0,4.53143835067749,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,7,116251,5,1.963538408279419,0.5,0.9817692041397095,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,7,116251,5,1.963538408279419,1.0,1.963538408279419,REUSED_IMMUTABLE_STAGE22E,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,7,116251,5,1.963538408279419,1.5,2.9453076124191284,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,7,116251,5,1.963538408279419,2.0,3.927076816558838,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,7,70827,7,6.448273658752441,0.5,3.2241368293762207,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,7,70827,7,6.448273658752441,1.0,6.448273658752441,REUSED_IMMUTABLE_STAGE22E,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,7,70827,7,6.448273658752441,1.5,9.672410488128662,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,7,70827,7,6.448273658752441,2.0,12.896547317504883,NEW_STAGE22F_GENERATION_AND_SCAN,13,2,0.15384615384615385,5,0,0.0,0,0.0,True
CWE-120,7,33426,8,1.6336020231246948,0.5,0.8168010115623474,NEW_STAGE22F_GENERATION_AND_SCAN,13,0,0.0,5,0,0.0,0,0.0,False
CWE-120,7,33426,8,1.6336020231246948,1.0,1.6336020231246948,REUSED_IMMUTABLE_STAGE22E,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,7,33426,8,1.6336020231246948,1.5,2.4504030346870422,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,7,33426,8,1.6336020231246948,2.0,3.2672040462493896,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,7,116952,10,2.3380157947540283,0.5,1.1690078973770142,NEW_STAGE22F_GENERATION_AND_SCAN,13,0,0.0,5,0,0.0,0,0.0,False
CWE-120,7,116952,10,2.3380157947540283,1.0,2.3380157947540283,REUSED_IMMUTABLE_STAGE22E,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,7,116952,10,2.3380157947540283,1.5,3.5070236921310425,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,7,116952,10,2.3380157947540283,2.0,4.676031589508057,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,15,22604,2,11.068862915039062,0.5,5.534431457519531,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,15,22604,2,11.068862915039062,1.0,11.068862915039062,REUSED_IMMUTABLE_STAGE22E,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,15,22604,2,11.068862915039062,1.5,16.603294372558594,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,15,22604,2,11.068862915039062,2.0,22.137725830078125,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,15,15524,3,19.329051971435547,0.5,9.664525985717773,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,15,15524,3,19.329051971435547,1.0,19.329051971435547,REUSED_IMMUTABLE_STAGE22E,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,15,15524,3,19.329051971435547,1.5,28.99357795715332,NEW_STAGE22F_GENERATION_AND_SCAN,13,3,0.23076923076923078,5,1,0.2,0,0.0,False
CWE-120,15,15524,3,19.329051971435547,2.0,38.658103942871094,NEW_STAGE22F_GENERATION_AND_SCAN,13,4,0.3076923076923077,5,4,0.8,5,0.38461538461538464,False
CWE-120,15,115727,6,3.718222141265869,0.5,1.8591110706329346,NEW_STAGE22F_GENERATION_AND_SCAN,13,0,0.0,5,0,0.0,0,0.0,False
CWE-120,15,115727,6,3.718222141265869,1.0,3.718222141265869,REUSED_IMMUTABLE_STAGE22E,13,3,0.23076923076923078,5,0,0.0,0,0.0,True
CWE-120,15,115727,6,3.718222141265869,1.5,5.577333211898804,NEW_STAGE22F_GENERATION_AND_SCAN,13,3,0.23076923076923078,5,0,0.0,0,0.0,True
CWE-120,15,115727,6,3.718222141265869,2.0,7.436444282531738,NEW_STAGE22F_GENERATION_AND_SCAN,13,3,0.23076923076923078,5,0,0.0,0,0.0,True
CWE-120,15,47723,9,5.798767566680908,0.5,2.899383783340454,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,15,47723,9,5.798767566680908,1.0,5.798767566680908,REUSED_IMMUTABLE_STAGE22E,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,15,47723,9,5.798767566680908,1.5,8.698151350021362,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,15,47723,9,5.798767566680908,2.0,11.597535133361816,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,23,34,1,9.3860445022583,0.5,4.69302225112915,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,23,34,1,9.3860445022583,1.0,9.3860445022583,REUSED_IMMUTABLE_STAGE22E,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,23,34,1,9.3860445022583,1.5,14.079066753387451,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,23,34,1,9.3860445022583,2.0,18.7720890045166,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,23,70085,3,30.659788131713867,0.5,15.329894065856934,NEW_STAGE22F_GENERATION_AND_SCAN,13,0,0.0,5,0,0.0,0,0.0,False
CWE-120,23,70085,3,30.659788131713867,1.0,30.659788131713867,REUSED_IMMUTABLE_STAGE22E,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,23,70085,3,30.659788131713867,1.5,45.9896821975708,NEW_STAGE22F_GENERATION_AND_SCAN,13,4,0.3076923076923077,5,0,0.0,0,0.0,True
CWE-120,23,70085,3,30.659788131713867,2.0,61.319576263427734,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,23,24002,5,70.8768539428711,0.5,35.43842697143555,NEW_STAGE22F_GENERATION_AND_SCAN,13,2,0.15384615384615385,5,0,0.0,0,0.0,True
CWE-120,23,24002,5,70.8768539428711,1.0,70.8768539428711,REUSED_IMMUTABLE_STAGE22E,13,2,0.15384615384615385,5,0,0.0,0,0.0,True
CWE-120,23,24002,5,70.8768539428711,1.5,106.31528091430664,NEW_STAGE22F_GENERATION_AND_SCAN,13,4,0.3076923076923077,5,0,0.0,1,0.07692307692307693,True
CWE-120,23,24002,5,70.8768539428711,2.0,141.7537078857422,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,3,0.6,12,0.9230769230769231,False
CWE-120,23,111213,9,18.27557945251465,0.5,9.137789726257324,NEW_STAGE22F_GENERATION_AND_SCAN,13,2,0.15384615384615385,5,0,0.0,0,0.0,True
CWE-120,23,111213,9,18.27557945251465,1.0,18.27557945251465,REUSED_IMMUTABLE_STAGE22E,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,23,111213,9,18.27557945251465,1.5,27.413369178771973,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,23,111213,9,18.27557945251465,2.0,36.5511589050293,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,23,84760,10,11.58505630493164,0.5,5.79252815246582,NEW_STAGE22F_GENERATION_AND_SCAN,13,0,0.0,5,0,0.0,0,0.0,False
CWE-120,23,84760,10,11.58505630493164,1.0,11.58505630493164,REUSED_IMMUTABLE_STAGE22E,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,23,84760,10,11.58505630493164,1.5,17.37758445739746,NEW_STAGE22F_GENERATION_AND_SCAN,13,1,0.07692307692307693,5,0,0.0,0,0.0,True
CWE-120,23,84760,10,11.58505630493164,2.0,23.17011260986328,NEW_STAGE22F_GENERATION_AND_SCAN,13,2,0.15384615384615385,5,0,0.0,0,0.0,True
CWE-327,15,97476,9,7.5629401206970215,0.5,3.7814700603485107,NEW_STAGE22F_GENERATION_AND_SCAN,6,0,0.0,5,0,0.0,0,0.0,False
CWE-327,15,97476,9,7.5629401206970215,1.0,7.5629401206970215,REUSED_IMMUTABLE_STAGE22E,6,1,0.16666666666666666,5,0,0.0,0,0.0,True
CWE-327,15,97476,9,7.5629401206970215,1.5,11.344410181045532,NEW_STAGE22F_GENERATION_AND_SCAN,6,1,0.16666666666666666,5,0,0.0,0,0.0,True
CWE-327,15,97476,9,7.5629401206970215,2.0,15.125880241394043,NEW_STAGE22F_GENERATION_AND_SCAN,6,2,0.3333333333333333,5,0,0.0,0,0.0,True
CWE-89,7,59391,6,10.605472564697266,0.5,5.302736282348633,NEW_STAGE22F_GENERATION_AND_SCAN,5,0,0.0,5,0,0.0,0,0.0,False
CWE-89,7,59391,6,10.605472564697266,1.0,10.605472564697266,REUSED_IMMUTABLE_STAGE22E,5,1,0.2,5,0,0.0,0,0.0,True
CWE-89,7,59391,6,10.605472564697266,1.5,15.908208847045898,NEW_STAGE22F_GENERATION_AND_SCAN,5,0,0.0,5,0,0.0,0,0.0,False
CWE-89,7,59391,6,10.605472564697266,2.0,21.21094512939453,NEW_STAGE22F_GENERATION_AND_SCAN,5,0,0.0,5,0,0.0,0,0.0,False
CWE-89,15,97476,2,7.5629401206970215,0.5,3.7814700603485107,NEW_STAGE22F_GENERATION_AND_SCAN,5,0,0.0,5,0,0.0,0,0.0,False
CWE-89,15,97476,2,7.5629401206970215,1.0,7.5629401206970215,REUSED_IMMUTABLE_STAGE22E,5,1,0.2,5,0,0.0,0,0.0,True
CWE-89,15,97476,2,7.5629401206970215,1.5,11.344410181045532,NEW_STAGE22F_GENERATION_AND_SCAN,5,1,0.2,5,0,0.0,0,0.0,True
CWE-89,15,97476,2,7.5629401206970215,2.0,15.125880241394043,NEW_STAGE22F_GENERATION_AND_SCAN,5,3,0.6,5,0,0.0,0,0.0,True
CWE-89,15,50152,4,5.900914192199707,0.5,2.9504570960998535,NEW_STAGE22F_GENERATION_AND_SCAN,5,0,0.0,5,0,0.0,0,0.0,False
CWE-89,15,50152,4,5.900914192199707,1.0,5.900914192199707,REUSED_IMMUTABLE_STAGE22E,5,1,0.2,5,0,0.0,0,0.0,True
CWE-89,15,50152,4,5.900914192199707,1.5,8.85137128829956,NEW_STAGE22F_GENERATION_AND_SCAN,5,1,0.2,5,0,0.0,0,0.0,True
CWE-89,15,50152,4,5.900914192199707,2.0,11.801828384399414,NEW_STAGE22F_GENERATION_AND_SCAN,5,1,0.2,5,0,0.0,0,0.0,True
CWE-89,15,40868,7,3.688389301300049,0.5,1.8441946506500244,NEW_STAGE22F_GENERATION_AND_SCAN,5,0,0.0,5,0,0.0,0,0.0,False
CWE-89,15,40868,7,3.688389301300049,1.0,3.688389301300049,REUSED_IMMUTABLE_STAGE22E,5,1,0.2,5,0,0.0,0,0.0,True
CWE-89,15,40868,7,3.688389301300049,1.5,5.532583951950073,NEW_STAGE22F_GENERATION_AND_SCAN,5,1,0.2,5,0,0.0,0,0.0,True
CWE-89,15,40868,7,3.688389301300049,2.0,7.376778602600098,NEW_STAGE22F_GENERATION_AND_SCAN,5,1,0.2,5,0,0.0,0,0.0,True
CWE-89,15,29355,9,3.844501256942749,0.5,1.9222506284713745,NEW_STAGE22F_GENERATION_AND_SCAN,5,0,0.0,5,1,0.2,0,0.0,False
CWE-89,15,29355,9,3.844501256942749,1.0,3.844501256942749,REUSED_IMMUTABLE_STAGE22E,5,1,0.2,5,0,0.0,0,0.0,True
CWE-89,15,29355,9,3.844501256942749,1.5,5.7667518854141235,NEW_STAGE22F_GENERATION_AND_SCAN,5,1,0.2,5,0,0.0,0,0.0,True
CWE-89,15,29355,9,3.844501256942749,2.0,7.689002513885498,NEW_STAGE22F_GENERATION_AND_SCAN,5,0,0.0,5,0,0.0,0,0.0,False
CWE-89,15,15524,11,19.329051971435547,0.5,9.664525985717773,NEW_STAGE22F_GENERATION_AND_SCAN,5,0,0.0,5,0,0.0,0,0.0,False
CWE-89,15,15524,11,19.329051971435547,1.0,19.329051971435547,REUSED_IMMUTABLE_STAGE22E,5,1,0.2,5,0,0.0,0,0.0,True
CWE-89,15,15524,11,19.329051971435547,1.5,28.99357795715332,NEW_STAGE22F_GENERATION_AND_SCAN,5,3,0.6,5,0,0.0,0,0.0,True
CWE-89,15,15524,11,19.329051971435547,2.0,38.658103942871094,NEW_STAGE22F_GENERATION_AND_SCAN,5,1,0.2,5,4,0.8,4,0.8,False
CWE-89,23,42521,8,17.300100326538086,0.5,8.650050163269043,NEW_STAGE22F_GENERATION_AND_SCAN,5,0,0.0,5,0,0.0,0,0.0,False
CWE-89,23,42521,8,17.300100326538086,1.0,17.300100326538086,REUSED_IMMUTABLE_STAGE22E,5,1,0.2,5,0,0.0,0,0.0,True
CWE-89,23,42521,8,17.300100326538086,1.5,25.95015048980713,NEW_STAGE22F_GENERATION_AND_SCAN,5,1,0.2,5,0,0.0,0,0.0,True
CWE-89,23,42521,8,17.300100326538086,2.0,34.60020065307617,NEW_STAGE22F_GENERATION_AND_SCAN,5,1,0.2,5,0,0.0,0,0.0,True
CWE-89,23,79031,12,8.415994644165039,0.5,4.2079973220825195,NEW_STAGE22F_GENERATION_AND_SCAN,5,0,0.0,5,0,0.0,0,0.0,False
CWE-89,23,79031,12,8.415994644165039,1.0,8.415994644165039,REUSED_IMMUTABLE_STAGE22E,5,1,0.2,5,0,0.0,0,0.0,True
CWE-89,23,79031,12,8.415994644165039,1.5,12.623991966247559,NEW_STAGE22F_GENERATION_AND_SCAN,5,0,0.0,5,0,0.0,0,0.0,False
CWE-89,23,79031,12,8.415994644165039,2.0,16.831989288330078,NEW_STAGE22F_GENERATION_AND_SCAN,5,0,0.0,5,0,0.0,0,0.0,False
