weight_id,reference_weight_id,cwe,layer,top10_jaccard,top200_jaccard,top10_intersection_count,top200_intersection_count
W1,W1,CWE-120,16,1,1,10,200
W2,W1,CWE-120,16,1,0.990049751244,10,199
W3,W1,CWE-120,16,1,0.970443349754,10,197
W4,W1,CWE-120,16,0.818181818182,0.980198019802,9,198
W5,W1,CWE-120,16,1,0.980198019802,10,198
W1,W1,CWE-327,16,1,1,10,200
W2,W1,CWE-327,16,0.818181818182,0.980198019802,9,198
W3,W1,CWE-327,16,0.818181818182,0.941747572816,9,194
W4,W1,CWE-327,16,1,0.941747572816,10,194
W5,W1,CWE-327,16,0.666666666667,0.951219512195,8,195
W1,W1,CWE-89,16,1,1,10,200
W2,W1,CWE-89,16,1,1,10,200
W3,W1,CWE-89,16,0.818181818182,0.990049751244,9,199
W4,W1,CWE-89,16,1,0.951219512195,10,195
W5,W1,CWE-89,16,1,0.990049751244,10,199
W1,W1,CWE-338,16,1,1,10,200
W2,W1,CWE-338,16,1,0.980198019802,10,198
W3,W1,CWE-338,16,0.818181818182,0.980198019802,9,198
W4,W1,CWE-338,16,1,0.990049751244,10,199
W5,W1,CWE-338,16,0.818181818182,0.980198019802,9,198
W1,W1,CWE-79,16,1,1,10,200
W2,W1,CWE-79,16,0.818181818182,1,9,200
W3,W1,CWE-79,16,0.666666666667,0.951219512195,8,195
W4,W1,CWE-79,16,0.666666666667,0.960784313725,8,196
W5,W1,CWE-79,16,0.818181818182,0.960784313725,9,196
W1,W1,CWE-125,16,1,1,10,200
W2,W1,CWE-125,16,1,0.970443349754,10,197
W3,W1,CWE-125,16,0.818181818182,0.951219512195,9,195
W4,W1,CWE-125,16,0.818181818182,0.923076923077,9,192
W5,W1,CWE-125,16,0.818181818182,0.951219512195,9,195
W1,W1,CWE-787,16,1,1,10,200
W2,W1,CWE-787,16,0.818181818182,1,9,200
W3,W1,CWE-787,16,0.818181818182,0.960784313725,9,196
W4,W1,CWE-787,16,0.818181818182,0.990049751244,9,199
W5,W1,CWE-787,16,0.818181818182,0.960784313725,9,196
W1,W1,CWE-190,16,1,1,10,200
W2,W1,CWE-190,16,0.818181818182,0.932367149758,9,193
W3,W1,CWE-190,16,0.818181818182,0.869158878505,9,186
W4,W1,CWE-190,16,0.818181818182,0.913875598086,9,191
W5,W1,CWE-190,16,0.818181818182,0.895734597156,9,189
W1,W1,CWE-476,16,1,1,10,200
W2,W1,CWE-476,16,0.818181818182,0.951219512195,9,195
W3,W1,CWE-476,16,0.818181818182,0.913875598086,9,191
W4,W1,CWE-476,16,0.666666666667,0.951219512195,8,195
W5,W1,CWE-476,16,0.818181818182,0.932367149758,9,193
W1,W1,CWE-120,19,1,1,10,200
W2,W1,CWE-120,19,1,0.980198019802,10,198
W3,W1,CWE-120,19,0.818181818182,0.980198019802,9,198
W4,W1,CWE-120,19,1,0.970443349754,10,197
W5,W1,CWE-120,19,1,0.980198019802,10,198
W1,W1,CWE-327,19,1,1,10,200
W2,W1,CWE-327,19,1,0.980198019802,10,198
W3,W1,CWE-327,19,1,0.932367149758,10,193
W4,W1,CWE-327,19,0.818181818182,0.960784313725,9,196
W5,W1,CWE-327,19,1,0.941747572816,10,194
W1,W1,CWE-89,19,1,1,10,200
W2,W1,CWE-89,19,1,0.970443349754,10,197
W3,W1,CWE-89,19,1,0.960784313725,10,196
W4,W1,CWE-89,19,1,0.932367149758,10,193
W5,W1,CWE-89,19,1,0.960784313725,10,196
W1,W1,CWE-338,19,1,1,10,200
W2,W1,CWE-338,19,1,1,10,200
W3,W1,CWE-338,19,1,1,10,200
W4,W1,CWE-338,19,1,0.980198019802,10,198
W5,W1,CWE-338,19,1,1,10,200
W1,W1,CWE-79,19,1,1,10,200
W2,W1,CWE-79,19,1,1,10,200
W3,W1,CWE-79,19,0.818181818182,0.960784313725,9,196
W4,W1,CWE-79,19,0.818181818182,0.980198019802,9,198
W5,W1,CWE-79,19,0.818181818182,0.990049751244,9,199
W1,W1,CWE-125,19,1,1,10,200
W2,W1,CWE-125,19,0.818181818182,0.970443349754,9,197
W3,W1,CWE-125,19,0.818181818182,0.923076923077,9,192
W4,W1,CWE-125,19,0.666666666667,0.923076923077,8,192
W5,W1,CWE-125,19,0.818181818182,0.951219512195,9,195
W1,W1,CWE-787,19,1,1,10,200
W2,W1,CWE-787,19,0.666666666667,0.980198019802,8,198
W3,W1,CWE-787,19,0.538461538462,0.970443349754,7,197
W4,W1,CWE-787,19,0.818181818182,0.951219512195,9,195
W5,W1,CWE-787,19,0.538461538462,0.960784313725,7,196
W1,W1,CWE-190,19,1,1,10,200
W2,W1,CWE-190,19,0.818181818182,0.932367149758,9,193
W3,W1,CWE-190,19,0.666666666667,0.88679245283,8,188
W4,W1,CWE-190,19,1,0.951219512195,10,195
W5,W1,CWE-190,19,0.818181818182,0.895734597156,9,189
W1,W1,CWE-476,19,1,1,10,200
W2,W1,CWE-476,19,1,0.980198019802,10,198
W3,W1,CWE-476,19,0.818181818182,0.932367149758,9,193
W4,W1,CWE-476,19,0.818181818182,0.932367149758,9,193
W5,W1,CWE-476,19,0.818181818182,0.951219512195,9,195
W1,W1,CWE-120,23,1,1,10,200
W2,W1,CWE-120,23,0.818181818182,0.990049751244,9,199
W3,W1,CWE-120,23,0.666666666667,0.980198019802,8,198
W4,W1,CWE-120,23,1,0.970443349754,10,197
W5,W1,CWE-120,23,0.818181818182,0.980198019802,9,198
W1,W1,CWE-327,23,1,1,10,200
W2,W1,CWE-327,23,1,1,10,200
W3,W1,CWE-327,23,0.818181818182,0.970443349754,9,197
W4,W1,CWE-327,23,1,0.960784313725,10,196
W5,W1,CWE-327,23,0.818181818182,0.980198019802,9,198
W1,W1,CWE-89,23,1,1,10,200
W2,W1,CWE-89,23,0.818181818182,0.980198019802,9,198
W3,W1,CWE-89,23,0.818181818182,0.960784313725,9,196
W4,W1,CWE-89,23,0.818181818182,0.970443349754,9,197
W5,W1,CWE-89,23,0.818181818182,0.960784313725,9,196
W1,W1,CWE-338,23,1,1,10,200
W2,W1,CWE-338,23,0.818181818182,1,9,200
W3,W1,CWE-338,23,0.666666666667,1,8,200
W4,W1,CWE-338,23,1,1,10,200
W5,W1,CWE-338,23,0.666666666667,1,8,200
W1,W1,CWE-79,23,1,1,10,200
W2,W1,CWE-79,23,1,0.990049751244,10,199
W3,W1,CWE-79,23,0.818181818182,0.941747572816,9,194
W4,W1,CWE-79,23,0.818181818182,0.970443349754,9,197
W5,W1,CWE-79,23,0.818181818182,0.951219512195,9,195
W1,W1,CWE-125,23,1,1,10,200
W2,W1,CWE-125,23,0.818181818182,0.990049751244,9,199
W3,W1,CWE-125,23,0.818181818182,0.970443349754,9,197
W4,W1,CWE-125,23,1,0.941747572816,10,194
W5,W1,CWE-125,23,0.818181818182,0.970443349754,9,197
W1,W1,CWE-787,23,1,1,10,200
W2,W1,CWE-787,23,1,1,10,200
W3,W1,CWE-787,23,1,0.990049751244,10,199
W4,W1,CWE-787,23,1,0.951219512195,10,195
W5,W1,CWE-787,23,1,0.990049751244,10,199
W1,W1,CWE-190,23,1,1,10,200
W2,W1,CWE-190,23,1,0.980198019802,10,198
W3,W1,CWE-190,23,1,0.923076923077,10,192
W4,W1,CWE-190,23,0.666666666667,0.951219512195,8,195
W5,W1,CWE-190,23,1,0.941747572816,10,194
W1,W1,CWE-476,23,1,1,10,200
W2,W1,CWE-476,23,0.818181818182,0.970443349754,9,197
W3,W1,CWE-476,23,0.818181818182,0.941747572816,9,194
W4,W1,CWE-476,23,0.818181818182,0.990049751244,9,199
W5,W1,CWE-476,23,0.818181818182,0.960784313725,9,196
