weight_id,histogram_weight,mean_difference_weight,ks_weight,cwe,layer,n_unsafe,n_safe_used,n_safe_before_balance,top1_feature,top1_score,top10_features,top200_features,frozen_bstar_feature,frozen_bstar_rank,frozen_bstar_rank_change_from_w1,frozen_bstar_top10,frozen_bstar_top200,frozen_bstar_in_saved_candidate_set,diagnostic_only
W1,0.4,0.4,0.2,CWE-120,16,14,70,1327,6986,0.927733302116,"[6986,1710,7839,14376,17395,9816,22720,29862,28421,9287]","[6986,1710,7839,14376,17395,9816,22720,29862,28421,9287,26373,6426,31664,1334,22892,29799,15955,5407,30495,9465,26334,23278,26274,4533,21872,19741,14435,17625,27644,5640,1940,6539,6888,10758,9911,19743,13526,10332,2917,5063,7384,14739,18510,13366,22987,14283,21157,5053,16890,4735,7595,8776,30752,26704,26585,12340,1218,14521,16033,16532,23681,28170,19880,24954,5570,917,497,9416,6093,5704,22367,22111,19535,22138,22023,8185,947,25717,1760,28644,24137,19458,15182,22094,28091,19401,30067,10118,19107,30690,3656,21030,22568,29240,17217,7698,3203,6975,29367,26810,14487,3073,25208,30757,3684,581,10281,8413,15639,5320,16656,4576,11877,24519,22911,8362,11499,10050,11222,15506,10214,24686,1161,24244,6996,228,26645,7328,9355,20918,5538,27029,1381,13382,25458,6312,5294,25834,31316,10492,7269,23811,6503,5225,11782,9342,10726,8067,4325,17868,5834,3763,5409,5035,20375,4978,27973,686,16943,940,30478,7724,31569,4776,19907,14024,10028,8180,21892,15294,24432,18114,3999,27880,4718,26284,29750,15693,20510,25441,9144,25977,15917,15432,32376,25366,10982,3356,17384,17667,4316,30345,10865,17989,2146,4782,29031,8498,15078,4056]",,,,,,,true
W2,0.333333333333,0.333333333333,0.333333333333,CWE-120,16,14,70,1327,6986,0.81596827507,"[6986,1710,7839,14376,17395,9816,29862,22720,28421,9287]","[6986,1710,7839,14376,17395,9816,29862,22720,28421,9287,26373,6426,31664,1334,22892,29799,15955,5407,30495,9465,26274,26334,4533,23278,5640,17625,19741,21872,27644,14435,9911,10758,1940,6539,19743,10332,2917,14739,6888,13526,5063,13366,7384,14283,18510,22987,21157,4735,30752,5053,26704,16890,7595,8776,6093,12340,19880,1218,26585,14521,16532,23681,16033,28170,19535,9416,5570,24954,22111,917,497,22138,25717,5704,22367,22023,28644,8185,947,1760,24137,19458,15182,22094,28091,19401,30067,10281,25208,26810,10118,19107,30690,3656,21030,22568,29240,17217,7698,3203,6975,29367,15639,14487,3073,16656,11877,8413,30757,3684,581,5320,22911,4576,24519,8362,11499,10050,11222,10214,24686,15506,1161,6312,24244,20918,6996,1381,228,13382,26645,7328,10492,9355,5538,27029,25458,23811,11782,5294,25834,31316,9342,7269,4325,17868,6503,5834,10726,8067,30478,7724,5225,19907,3763,5409,5035,20375,4978,27973,21892,16943,940,31569,4776,14024,10028,15693,20510,8180,686,24432,18114,3999,27880,26284,29750,25977,15294,15917,32376,4718,25366,10982,3356,17384,17667,4316,30345,10865,17989,9144,2146,4782,29031,8498,15078,4056,23435,25441]",,,,,,,true
W3,0.5,0.3,0.2,CWE-120,16,14,70,1327,6986,0.805800020695,"[6986,1710,7839,14376,17395,9816,9287,29862,22720,28421]","[6986,1710,7839,14376,17395,9816,9287,29862,22720,28421,26373,1334,6426,31664,5407,22892,29799,15955,9465,30495,26274,4533,5640,26334,17625,23278,19741,2917,27644,21872,14435,9911,19743,10332,14739,10758,1940,6539,6888,6093,13366,13526,14283,5063,7384,18510,22987,4735,30752,21157,26704,5053,14521,16890,7595,19880,8776,12340,1218,19535,25717,26585,22111,16532,23681,22367,16033,28170,9416,5570,22138,24954,10281,917,497,5704,11877,25208,28644,22023,8185,947,1760,24137,19458,15182,22094,26810,28091,19401,9342,8362,30067,10118,19107,30690,3656,21030,22568,29240,15639,17217,7698,3203,6975,29367,16656,14487,3073,8413,30757,3684,581,6312,22911,5320,4576,24519,11499,10214,24686,10050,11222,15506,1161,20918,1381,13382,24244,10492,6996,228,26645,7328,23811,9355,11782,15386,5538,27029,9144,25458,5294,4325,25834,31316,17868,5834,7269,6503,30478,7724,19907,10726,8067,21892,3763,5409,5035,20375,4978,5225,16943,940,15693,20510,31569,4776,14024,10028,8180,24656,27973,24432,18114,3999,15294,27880,686,26284,29750,4718,25977,15917,32376,25366,10982,3356,17384,17667,4316,30345,10865,17989,2146,4782,10210,29031,8498,15078]",,,,,,,true
W4,0.3,0.5,0.2,CWE-120,16,14,70,1327,6986,1.04966664314,"[6986,1710,7839,14376,22720,9816,28421,17395,29862,26373]","[6986,1710,7839,14376,22720,9816,28421,17395,29862,26373,9287,6426,31664,1334,22892,29799,30495,15955,23278,26334,9465,21872,14435,5407,19741,4533,27644,17625,26274,1940,6539,6888,13526,5640,10758,5063,7384,19743,9911,18510,10332,22987,14739,21157,2917,13366,5053,14283,16890,7595,8776,26585,1218,12340,4735,16033,30752,26704,16532,23681,24954,28170,14521,917,497,5570,9416,19880,5704,22023,8185,947,1760,24137,19458,15182,22094,28091,22367,28644,19401,22111,22138,30067,10118,19107,30690,3656,19535,21030,22568,29240,17217,7698,3203,6975,29367,14487,3073,25717,30757,3684,581,26810,5320,4576,8413,24519,11499,10050,11222,15639,25208,22911,16656,15506,1161,24244,10214,24686,6996,228,26645,7328,9355,5538,27029,8362,10281,25458,5225,5294,25834,31316,7269,20918,1381,13382,6503,10492,6093,10726,8067,11877,686,27973,23811,11782,3763,5409,5035,20375,4978,25441,16943,940,4325,17868,31569,15432,4776,5834,14024,10028,6312,8180,30478,15294,7724,4718,24432,19907,18114,3999,27880,26284,29750,21892,25977,15917,32376,25366,10982,3356,17384,17667,4316,15693,20510,30345,10865,17989,2146,4782,29599,29031,8498,15078,4056,23435]",,,,,,,true
W5,0.4,0.3,0.3,CWE-120,16,14,70,1327,6986,0.782942891121,"[6986,1710,7839,14376,17395,9816,29862,9287,22720,28421]","[6986,1710,7839,14376,17395,9816,29862,9287,22720,28421,26373,6426,31664,1334,22892,5407,29799,15955,9465,30495,26274,4533,5640,26334,17625,23278,19741,27644,21872,2917,14435,9911,19743,14739,10758,10332,1940,6539,6888,13366,13526,14283,5063,7384,6093,18510,22987,4735,30752,21157,26704,5053,16890,19880,7595,8776,14521,12340,1218,19535,26585,16532,23681,22111,16033,28170,25717,9416,5570,22138,22367,24954,917,497,5704,10281,28644,22023,25208,8185,947,1760,11877,24137,19458,15182,22094,26810,28091,19401,30067,10118,19107,30690,3656,21030,22568,29240,15639,17217,7698,3203,6975,29367,16656,14487,3073,8413,8362,30757,3684,581,22911,5320,9342,4576,24519,6312,11499,10214,24686,10050,11222,15506,1161,20918,1381,13382,24244,10492,6996,228,26645,7328,23811,9355,11782,5538,27029,25458,5294,4325,25834,31316,17868,5834,7269,6503,30478,7724,19907,10726,8067,21892,3763,5409,5035,20375,4978,5225,16943,940,15693,20510,31569,9144,4776,27973,14024,10028,15386,8180,24432,18114,3999,27880,686,26284,29750,25977,15294,15917,32376,4718,25366,10982,3356,17384,17667,4316,30345,10865,17989,2146,4782,29031,8498,15078,4056,24656]",,,,,,,true
W1,0.4,0.4,0.2,CWE-327,16,28,140,1313,6986,0.862539768219,"[6986,9342,1334,31902,23278,29862,7839,9465,14376,26334]","[6986,9342,1334,31902,23278,29862,7839,9465,14376,26334,9816,2917,11877,25717,19741,17518,19743,26373,8219,10281,5407,12340,28170,12779,26413,16532,23681,27644,5570,28022,3121,13031,26274,24656,30216,11177,6219,10303,29717,8413,9416,5835,9287,21851,26704,22911,27127,6093,11031,27435,24686,14739,30478,20409,19154,2246,26810,20918,1381,13382,10492,15693,23573,27348,23811,11595,11782,19441,4325,4025,17868,5834,10758,3690,7724,30544,27135,19907,18646,17395,21892,19322,1940,20510,24190,5640,14356,25917,581,10798,26333,16839,843,20658,9031,9144,16005,4776,11501,24959,23454,24218,4782,10764,22367,21349,30638,14061,26016,8362,14030,10210,12202,22138,11058,7177,1951,10214,22619,8076,18192,29799,18361,28451,7698,31664,8526,13410,29650,28106,25656,11940,7554,15639,22601,30510,25262,15386,18853,19342,11380,17706,27887,2677,3219,15068,15183,7775,24857,10904,18725,14437,4407,15769,26482,13334,8809,19075,32485,17330,31569,32081,18464,14812,4943,7809,22493,3722,6871,13089,10083,30332,13749,17348,2123,1345,29487,16006,20977,7595,24621,26819,30067,17945,29750,26802,9129,3791,19880,328,1627,25616,13589,2665,19535,12866,1329,25627,12751,8165]",,,,,,,true
W2,0.333333333333,0.333333333333,0.333333333333,CWE-327,16,28,140,1313,6986,0.752116441727,"[6986,9342,31902,1334,29862,9465,23278,7839,2917,14376]","[6986,9342,31902,1334,29862,9465,23278,7839,2917,14376,9816,26334,11877,25717,19741,19743,17518,26373,10281,8219,5407,12340,28170,26413,12779,16532,23681,27644,5570,28022,26274,3121,13031,10303,24656,9287,6219,9416,30216,8413,26704,22911,11177,5835,27435,29717,14739,24686,30478,6093,21851,27127,26810,20918,15693,1381,13382,20409,10492,19154,10758,23811,11782,11031,4325,17868,27348,5834,23573,11595,7724,30544,19441,19907,4025,2246,17395,21892,27135,20510,18646,9144,3690,5640,25917,19322,581,16839,843,1940,24190,14356,24959,4782,10764,22367,4776,10798,26333,30638,20658,21349,9031,16005,14061,22138,11501,23454,24218,8362,10210,11058,1951,7177,10214,8076,15386,26016,14030,18361,12202,31664,29799,22619,18192,7698,8526,25262,15639,28451,22601,11380,13410,29650,19342,28106,15183,25656,11940,30510,7554,3219,7775,2677,18853,17706,24857,4407,27887,18464,15068,26482,14812,32485,17330,10904,18725,14437,15769,31569,13334,8809,3722,19075,32081,4943,7809,22493,6871,13089,17348,10083,3791,30332,19880,13749,26819,1345,29487,16006,20977,7595,2123,24621,17945,30067,29750,26802,9129,19535,328,12757,1627,25616,13589,2665,12866,1329,25697,25627]",,,,,,,true
W3,0.5,0.3,0.2,CWE-327,16,28,140,1313,6986,0.719761967659,"[6986,9342,1334,31902,7839,29862,9465,23278,9816,14376]","[6986,9342,1334,31902,7839,29862,9465,23278,9816,14376,25717,2917,26334,11877,19743,19741,17518,26373,10281,5407,8219,12340,28170,26413,16532,23681,12779,27644,9287,26274,5570,28022,24656,3121,6093,13031,10303,6219,9416,26704,8413,30216,22911,14739,27435,10758,5835,24686,30478,11177,29717,15693,26810,20918,1381,13382,10492,23811,20409,11782,30544,21851,19154,4325,17868,27127,5834,17395,7724,27348,19907,11595,23573,11031,21892,9144,4025,19441,20510,27135,18646,15386,2246,5640,24959,8362,30638,25917,581,3690,22138,16839,843,29799,14061,19322,4776,4782,10764,22367,10210,21349,24190,7177,1940,10214,14356,10798,26333,11058,20658,8076,1951,9031,16005,11501,23454,24218,15639,8526,18361,7554,26016,14030,31664,12202,22601,22619,7698,15183,11380,25262,18192,19342,28451,7775,13410,29650,3219,4407,28106,30510,25656,2677,11940,24857,17330,18853,14812,26482,17706,27887,18464,32485,15068,17348,10904,18725,14437,31569,3722,15769,13334,8809,19075,17945,32081,1710,12757,4943,3791,7809,22493,19880,6871,13089,10083,26819,13749,30332,1345,29487,16006,20977,7595,5951,24621,15986,2123,19535,30067,29750,26802,28644,9129,328,2573,1627,25616,12751]",,,,,,,true
W4,0.3,0.5,0.2,CWE-327,16,28,140,1313,6986,1.00531744957,"[6986,9342,23278,1334,31902,26334,9465,29862,7839,14376]","[6986,9342,23278,1334,31902,26334,9465,29862,7839,14376,2917,9816,19741,11877,17518,25717,26373,8219,19743,10281,12340,12779,28170,5407,16532,23681,26413,27644,5570,3121,28022,13031,11177,29717,30216,21851,27127,26274,6219,11031,5835,10303,8413,24656,9416,22911,2246,26704,20409,24686,19154,27435,23573,3690,30478,27348,19441,14739,11595,26810,20918,1381,13382,19322,10492,1940,4025,15693,23811,11782,24190,27135,4325,17868,14356,18646,5834,6093,10798,26333,7724,9287,19907,20658,9031,21892,16005,11501,30544,17395,23454,24218,581,25917,20510,5640,16839,843,10758,4776,26016,14030,12202,4782,10764,22367,21349,22619,18192,24959,28451,11058,1951,13410,29650,9144,10210,7698,14061,28106,7177,25656,11940,18361,8076,10214,31664,30638,18853,22138,17706,30510,8362,27887,8526,19342,15068,22601,2677,25262,7554,29799,10904,11380,18725,3219,14437,15769,13334,15639,24857,8809,19075,32081,7775,4943,31569,7809,22493,30332,6871,13089,15183,10083,4407,32485,26482,2123,3722,18464,13749,1345,17330,29487,16006,20977,7595,24621,14812,30067,29750,26802,9129,328,26819,17348,1627,25616,13589,2665,12866,1329,25627,8656,8165,30925,29866,1218,1954,22902]",,,,,,,true
W5,0.4,0.3,0.3,CWE-327,16,28,140,1313,6986,0.70833337307,"[6986,9342,31902,1334,29862,7839,9465,23278,9816,2917]","[6986,9342,31902,1334,29862,7839,9465,23278,9816,2917,14376,25717,26334,11877,19743,19741,17518,26373,10281,5407,8219,12340,28170,26413,16532,23681,12779,27644,5570,28022,26274,9287,3121,24656,13031,10303,9416,6219,26704,8413,6093,30216,22911,14739,27435,5835,24686,30478,10758,11177,29717,15693,26810,20918,1381,13382,10492,23811,20409,11782,21851,19154,4325,17868,30544,27127,5834,7724,27348,17395,19907,11595,23573,21892,11031,9144,4025,19441,20510,27135,18646,2246,5640,25917,24959,3690,581,15386,16839,843,30638,19322,22138,8362,4782,10764,22367,4776,14061,24190,1940,21349,14356,10210,10798,26333,29799,7177,10214,20658,11058,9031,8076,16005,1951,11501,23454,24218,18361,31664,15639,8526,26016,14030,12202,22619,25262,7698,22601,11380,18192,15183,7554,19342,28451,7775,13410,29650,3219,28106,30510,4407,25656,2677,11940,24857,18853,17706,14812,18464,26482,17330,27887,32485,15068,10904,18725,14437,31569,3722,15769,17348,13334,8809,19075,32081,4943,3791,7809,22493,19880,6871,13089,10083,17945,12757,26819,13749,30332,1345,29487,16006,20977,7595,24621,2123,19535,30067,29750,26802,9129,5951,1710,328,1627,15986,25616,13589,25697,2665]",,,,,,,true
